ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
000977.SZ,20260605,62.14,4.888,7.2468,,37.8186,35.7137,4.1023,0.5538,0.5949,,,146847.6655,146683.1804,98938.8739,9125113.9342,9114892.8301
000977.SZ,20260604,63.36,3.558,5.275,0.57,38.5611,36.4148,4.1828,0.5646,0.6066,0.2532,0.0631,146847.6655,146683.1804,98938.8739,9304268.0861,9293846.3101
000977.SZ,20260603,64.22,6.3035,9.3453,1.07,39.0845,36.9091,4.2396,0.5723,0.6148,0.2498,0.0623,146847.6655,146683.1804,98938.8739,9430557.0784,9419993.8453
000977.SZ,20260602,65.0,5.2289,7.7522,0.92,39.5592,37.3574,4.2911,0.5793,0.6223,0.2468,0.0615,146847.6655,146683.1804,98938.8739,9545098.2575,9534406.726
000977.SZ,20260601,64.14,6.9376,10.2854,1.35,39.0358,36.8631,4.2343,0.5716,0.614,0.2501,0.0624,146847.6655,146683.1804,98938.8739,9418809.2652,9408259.1909
000977.SZ,20260529,64.63,8.2657,12.2544,1.93,39.334,37.1448,4.2667,0.576,0.6187,0.2482,0.0619,146847.6655,146683.1804,98938.8739,9490764.6213,9480133.9493
000977.SZ,20260528,66.41,4.2187,6.2545,0.91,40.4173,38.1678,4.3842,0.5918,0.6358,0.2415,0.0602,146847.6655,146683.1804,98938.8739,9752153.4659,9741230.0104
000977.SZ,20260527,64.52,4.854,7.1963,1.08,39.267,37.0815,4.2594,0.575,0.6177,0.2486,0.062,146847.6655,146683.1804,98938.8739,9474611.3781,9463998.7994
000977.SZ,20260526,67.3,4.2652,6.3235,0.9,40.959,38.6793,4.443,0.5998,0.6443,0.2383,0.0594,146847.6655,146683.1804,98938.8739,9882847.8882,9871778.0409
000977.SZ,20260525,69.2,4.1611,6.1691,0.87,42.1153,39.7713,4.5684,0.6167,0.6625,0.2318,0.0578,146847.6655,146683.1804,98938.8739,10161858.4526,10150476.0837
000977.SZ,20260522,68.25,3.8737,5.743,0.76,41.5371,39.2253,4.5057,0.6082,0.6534,0.235,0.0586,146847.6655,146683.1804,98938.8739,10022353.1704,10011127.0623
000977.SZ,20260521,66.31,6.0382,8.952,1.03,40.3564,38.1103,4.3776,0.5909,0.6348,0.2419,0.0603,146847.6655,146683.1804,98938.8739,9737468.6993,9726561.6923
000977.SZ,20260520,71.23,4.1599,6.1673,0.65,43.3508,40.938,4.7024,0.6348,0.6819,0.2252,0.0562,146847.6655,146683.1804,98938.8739,10459959.2136,10448242.9399
000977.SZ,20260519,72.23,5.3955,7.9991,0.85,43.9594,41.5127,4.7559,0.6437,0.6915,0.2221,0.1596,146847.6655,146683.1804,98938.8739,10606806.8791,10594926.1203
000977.SZ,20260518,70.61,4.4509,6.5987,0.66,42.9734,40.5816,4.6492,0.6293,0.676,0.2272,0.1633,146847.6655,146683.1804,98938.8739,10368913.661,10357299.368
