ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
601318.SH,20260907,56.36,1.0481,1.1522,1.36,7.5721,6.4058,0.9927,0.9715,0.9067,4.56,4.7906,1810764.1995,1066006.5083,969734.5981,102054670.312,60080126.9036
601318.SH,20260904,58.24,0.735,0.808,1.03,7.8246,6.6195,1.0258,1.0039,0.9369,4.4128,4.636,1810764.1995,1066006.5083,969734.5981,105458907.008,62084219.1424
601318.SH,20260903,58.0,1.0198,1.121,1.61,7.7924,6.5922,1.0216,0.9997,0.9331,4.431,4.6552,1810764.1995,1066006.5083,969734.5981,105024323.6,61828377.58
601318.SH,20260902,56.63,0.5633,0.6193,0.79,7.6083,6.4365,0.9974,0.9761,0.911,4.5382,4.7678,1810764.1995,1066006.5083,969734.5981,102543576.646,60367948.6613
601318.SH,20260901,57.23,1.014,1.1146,1.55,7.6889,6.5047,1.008,0.9865,0.9207,4.4907,4.7178,1810764.1995,1066006.5083,969734.5981,103630035.166,61007552.5673
601318.SH,20260831,55.82,0.5121,0.563,0.64,7.4995,6.3444,0.9832,0.9622,0.898,4.6041,4.837,1810764.1995,1066006.5083,969734.5981,101076857.644,59504483.3882
601318.SH,20260828,55.85,0.4667,0.513,0.51,7.5035,6.3478,0.9837,0.9627,0.8985,4.6016,4.8344,1810764.1995,1066006.5083,969734.5981,101131180.57,59536463.5835
601318.SH,20260827,55.87,0.6065,0.6667,0.69,7.5062,6.3501,0.984,0.963,0.8988,4.6,4.8326,1810764.1995,1066006.5083,969734.5981,101167395.854,59557783.7137
601318.SH,20260826,56.13,0.9882,1.0863,1.18,7.5412,6.3797,0.9886,0.9675,0.903,4.5787,4.8103,1810764.1995,1066006.5083,969734.5981,101638194.546,59834945.4063
601318.SH,20260825,55.01,0.6935,0.7624,0.86,7.3907,6.2524,0.9689,0.9482,0.885,4.6719,4.9082,1810764.1995,1066006.5083,969734.5981,99610138.642,58641018.1151
601318.SH,20260824,54.92,1.2266,1.3484,1.88,7.3786,6.2421,0.9673,0.9467,0.8835,4.6795,4.9162,1810764.1995,1066006.5083,969734.5981,99447169.864,58545077.5292
601318.SH,20260821,53.35,1.0469,1.1508,1.85,7.1677,6.0637,0.9397,0.9196,0.8583,4.8172,5.0609,1810764.1995,1066006.5083,969734.5981,96604270.07,56871447.3085
601318.SH,20260820,52.14,0.4646,0.5108,0.82,7.0051,7.1103,0.9272,0.8987,0.9112,4.929,5.1784,1810764.1995,1066006.5083,969734.5981,94413245.388,55581579.4314
601318.SH,20260819,52.08,0.7409,0.8145,1.42,6.997,7.1021,0.9261,0.8977,0.9102,4.9347,5.1843,1810764.1995,1066006.5083,969734.5981,94304599.536,55517619.0408
601318.SH,20260818,51.32,0.5431,0.5971,1.02,6.8949,6.9985,0.9126,0.8846,0.8969,5.0078,5.2611,1810764.1995,1066006.5083,969734.5981,92928418.744,54707454.0932
601318.SH,20260817,51.8,0.4711,0.5178,0.85,6.9594,7.0639,0.9211,0.8929,0.9053,4.9614,5.2124,1810764.1995,1066006.5083,969734.5981,93797585.56,55219137.218
601318.SH,20260814,51.75,0.603,0.6628,1.15,6.9527,7.0571,0.9202,0.892,0.9044,4.9662,5.2174,1810764.1995,1066006.5083,969734.5981,93707047.35,55165836.8925
601318.SH,20260813,52.8,0.4916,0.5404,0.89,7.0938,7.2003,0.9389,0.9101,0.9228,4.8674,5.1136,1810764.1995,1066006.5083,969734.5981,95608349.76,56285143.728
601318.SH,20260812,52.6,0.4992,0.5487,0.85,7.0669,7.173,0.9353,0.9067,0.9193,4.8859,5.1331,1810764.1995,1066006.5083,969734.5981,95246196.92,56071942.426
