ts_code,ann_date,f_ann_date,end_date,report_type,n_income_attr_p
300274.SZ,20260428,20260428,20260331,1,2291269562.74
300274.SZ,20260401,20260401,20251231,1,13461279955.37
300274.SZ,20251029,20251029,20250930,1,11881223611.34
300274.SZ,20250826,20250826,20250630,1,7734577947.85
300274.SZ,20250426,20250426,20250331,1,3826160917.33
300274.SZ,20250426,20250426,20250331,1,3826160917.33
300274.SZ,20250426,20250426,20241231,1,11036278921.36
300274.SZ,20241031,20241031,20240930,1,7599553021.69
300274.SZ,20240824,20240824,20240630,1,4959073577.1
300274.SZ,20240423,20240423,20240331,1,2096318765.89
300274.SZ,20240423,20240423,20231231,1,9439561800.25
