ts_code,ann_date,f_ann_date,end_date,report_type,n_income_attr_p
688047.SH,20260429,20260429,20260331,1,-113970263.53
688047.SH,20260429,20260429,20251231,1,-455140256.17
688047.SH,20251029,20251029,20250930,1,-393812643.76
688047.SH,20250828,20250828,20250630,1,-294468226.53
688047.SH,20250429,20250429,20250331,1,-151280445.14
688047.SH,20250429,20250429,20241231,1,-625347147.32
688047.SH,20241030,20241030,20240930,1,-342759507.16
688047.SH,20240828,20240828,20240630,1,-238129943.62
688047.SH,20240828,20240828,20240630,1,-238129943.62
688047.SH,20240427,20240427,20240331,1,-74808468.7
688047.SH,20240427,20240427,20231231,1,-329439799.58
