ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300364.SZ,20260605,24.13,24.52,23.3,23.82,23.9,-0.08,-0.3347,350907.26,837178.38
300364.SZ,20260604,24.5,24.5,23.63,23.9,24.88,-0.98,-3.9389,457435.24,1096510.711
300364.SZ,20260603,25.15,25.43,24.47,24.88,25.59,-0.71,-2.7745,422734.77,1055415.206
300364.SZ,20260602,26.7,26.75,25.06,25.59,26.6,-1.01,-3.797,512608.16,1308820.224
300364.SZ,20260601,25.2,27.16,25.0,26.6,25.39,1.21,4.7657,727957.32,1921692.653
300364.SZ,20260529,25.58,26.22,25.26,25.39,25.36,0.03,0.1183,695458.27,1786533.568
300364.SZ,20260528,26.1,26.41,24.86,25.36,26.41,-1.05,-3.9758,705612.0,1792210.113
300364.SZ,20260527,27.52,28.66,26.21,26.41,25.61,0.8,3.1238,1052177.88,2874984.053
300364.SZ,20260526,26.03,26.11,25.0,25.61,26.15,-0.54,-2.065,372570.36,947606.952
300364.SZ,20260525,26.38,26.84,25.82,26.15,26.08,0.07,0.2684,329765.58,864597.819
300364.SZ,20260522,26.1,26.28,25.62,26.08,26.0,0.08,0.3077,292844.27,760550.019
300364.SZ,20260521,27.37,27.85,25.77,26.0,27.2,-1.2,-4.4118,509755.7,1367938.915
300364.SZ,20260520,28.0,28.07,27.11,27.2,28.4,-1.2,-4.2254,449658.69,1232499.676
300364.SZ,20260519,27.96,29.28,27.7,28.4,28.04,0.36,1.2839,530696.09,1510371.336
300364.SZ,20260518,27.71,28.56,27.5,28.04,27.9,0.14,0.5018,409097.97,1142327.663
300364.SZ,20260515,28.36,29.05,27.82,27.9,27.83,0.07,0.2515,567529.3,1611712.053
300364.SZ,20260514,31.16,31.53,27.73,27.83,30.86,-3.03,-9.8185,897336.08,2600370.519
300364.SZ,20260513,30.55,30.95,29.83,30.86,30.55,0.31,1.0147,512227.76,1560073.08
300364.SZ,20260512,30.9,31.37,30.0,30.55,31.09,-0.54,-1.7369,491330.94,1502442.548
300364.SZ,20260511,31.64,32.04,30.88,31.09,31.38,-0.29,-0.9242,605248.5,1890983.643
300364.SZ,20260508,32.7,33.36,31.28,31.38,32.36,-0.98,-3.0284,867540.94,2790986.776
300364.SZ,20260507,30.23,32.4,30.01,32.36,30.26,2.1,6.9399,849170.46,2682068.65
