ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600027.SH,20260907,4.83,4.86,4.76,4.82,4.84,-0.02,-0.4132,840042.47,403473.391
600027.SH,20260904,4.78,4.87,4.78,4.84,4.79,0.05,1.0438,987450.76,478516.061
600027.SH,20260903,4.66,4.83,4.66,4.79,4.67,0.12,2.5696,1739442.45,832079.84
600027.SH,20260902,4.65,4.69,4.62,4.67,4.66,0.01,0.2146,595354.44,277521.773
600027.SH,20260901,4.59,4.67,4.58,4.66,4.59,0.07,1.5251,703122.62,326597.573
600027.SH,20260831,4.68,4.68,4.58,4.59,4.7,-0.11,-2.3404,769891.88,355232.692
600027.SH,20260828,4.63,4.71,4.61,4.7,4.61,0.09,1.9523,824561.43,384781.075
600027.SH,20260827,4.64,4.65,4.57,4.61,4.65,-0.04,-0.8602,659515.16,304289.174
600027.SH,20260826,4.6,4.67,4.59,4.65,4.6,0.05,1.087,721801.46,335337.604
600027.SH,20260825,4.53,4.62,4.53,4.6,4.55,0.05,1.0989,596223.59,273598.443
600027.SH,20260824,4.47,4.56,4.46,4.55,4.46,0.09,2.0179,728764.59,330217.069
600027.SH,20260821,4.51,4.52,4.45,4.46,4.51,-0.05,-1.1086,551305.47,246274.82
600027.SH,20260820,4.51,4.56,4.5,4.51,4.5,0.01,0.2222,476006.71,215254.145
600027.SH,20260819,4.52,4.57,4.49,4.5,4.55,-0.05,-1.0989,741084.39,335559.092
600027.SH,20260818,4.54,4.57,4.53,4.55,4.55,0.0,0.0,417371.02,189830.053
600027.SH,20260817,4.55,4.56,4.51,4.55,4.54,0.01,0.2203,349359.95,158600.491
600027.SH,20260814,4.58,4.59,4.52,4.54,4.6,-0.06,-1.3043,506260.23,230368.182
600027.SH,20260813,4.62,4.62,4.57,4.6,4.63,-0.03,-0.6479,718607.87,330211.741
600027.SH,20260812,4.66,4.67,4.61,4.63,4.66,-0.03,-0.6438,582855.11,269849.408
600027.SH,20260811,4.67,4.71,4.65,4.66,4.67,-0.01,-0.2141,566124.89,264645.008
600027.SH,20260810,4.66,4.69,4.65,4.67,4.67,0.0,0.0,615028.69,287299.958
600027.SH,20260807,4.69,4.7,4.64,4.67,4.69,-0.02,-0.4264,558164.59,259871.291
600027.SH,20260806,4.71,4.72,4.63,4.69,4.72,-0.03,-0.6356,734281.32,342801.031
600027.SH,20260805,4.77,4.78,4.69,4.72,4.78,-0.06,-1.2552,684134.44,322919.658
