ts_code,name,report_date,report_title,report_type,classify,org_name,author_name,quarter,op_rt,op_pr,tp,np,eps,pe,rd,roe,ev_ebitda,rating,max_price,min_price
001309.SZ,德明利,20260507,德明利2025年年报及2026年一季报点评：26Q1业绩创历史新高，企业级存储持续放量,点评,首次关注,财信证券,周剑,2026Q4,3044465.0,,1438802.0,1431010.0,63.08,9.15,2.0,98.2,,买入,,
001309.SZ,德明利,20260507,德明利2025年年报及2026年一季报点评：26Q1业绩创历史新高，企业级存储持续放量,点评,首次关注,财信证券,周剑,2027Q4,3849467.0,,974807.0,972133.0,42.85,13.47,1.0,42.98,,买入,,
001309.SZ,德明利,20260507,德明利2025年年报及2026年一季报点评：26Q1业绩创历史新高，企业级存储持续放量,点评,首次关注,财信证券,周剑,2028Q4,4733461.0,,1058753.0,1055412.0,46.53,12.41,1.0,33.73,,买入,,
001309.SZ,德明利,20260421,德明利：1Q26预计归母净利润同比增长4659%-5383%，企业级产品加速放量,点评,一般报告,国信证券,"叶子,胡慧,张大为,李书颖,詹浏洋",2026Q4,3177400.0,,986800.0,888300.0,39.16,13.1,2.0,90.9,12.9,优于大市,,
001309.SZ,德明利,20260421,德明利：1Q26预计归母净利润同比增长4659%-5383%，企业级产品加速放量,点评,一般报告,国信证券,"叶子,胡慧,张大为,李书颖,詹浏洋",2027Q4,3961000.0,,968600.0,920300.0,40.57,12.7,2.1,55.7,13.5,优于大市,,
001309.SZ,德明利,20260421,德明利：1Q26预计归母净利润同比增长4659%-5383%，企业级产品加速放量,点评,一般报告,国信证券,"叶子,胡慧,张大为,李书颖,詹浏洋",2028Q4,4923500.0,,980900.0,932000.0,41.08,12.5,2.1,39.9,13.1,优于大市,,
001309.SZ,德明利,20260309,半导体3月投资策略：建议关注半导体生产链及周期复苏的模拟功率板块,非个股,一般报告,国信证券,"胡剑,胡慧,张大为,詹浏洋",2026Q4,,,,51000.0,2.248,,,,,优于大市,,
001309.SZ,德明利,20260309,半导体3月投资策略：建议关注半导体生产链及周期复苏的模拟功率板块,非个股,一般报告,国信证券,"胡剑,胡慧,张大为,詹浏洋",2027Q4,,,,101700.0,4.483,,,,,优于大市,,
001309.SZ,德明利,20251124,德明利：Q3业绩环比改善明显，持续受益存储周期上行,点评,首次关注,兴业证券,"姚康,张元默",2027Q4,1673300.0,,111300.0,102400.0,4.51,54.8,,10.0,,增持,,
001309.SZ,德明利,20251124,德明利：Q3业绩环比改善明显，持续受益存储周期上行,点评,首次关注,兴业证券,"姚康,张元默",2026Q4,1251700.0,,105600.0,97200.0,4.28,57.8,,12.3,,增持,,
001309.SZ,德明利,20251124,德明利：Q3业绩环比改善明显，持续受益存储周期上行,点评,首次关注,兴业证券,"姚康,张元默",2025Q4,972900.0,,74200.0,68300.0,3.01,82.3,,13.5,,增持,,
001309.SZ,德明利,20251028,德明利深度报告：（可公开）国内企业级存储领军企业，AI打开后续成长空间,深度,首次关注,东莞证券,"刘梦麟,陈伟光",2027Q4,1642800.0,,134700.0,124600.0,5.49,43.44,,,,买入,,
001309.SZ,德明利,20251028,德明利深度报告：（可公开）国内企业级存储领军企业，AI打开后续成长空间,深度,首次关注,东莞证券,"刘梦麟,陈伟光",2026Q4,1269800.0,,98200.0,90900.0,4.0,59.59,,,,买入,,
001309.SZ,德明利,20251028,德明利深度报告：（可公开）国内企业级存储领军企业，AI打开后续成长空间,深度,首次关注,东莞证券,"刘梦麟,陈伟光",2025Q4,919100.0,,39500.0,36500.0,1.61,148.14,,,,买入,,
001309.SZ,德明利,20251027,“十五五”规划擘画现代化强国路径，科技创新仍是重点—电子行业点评报告,非个股,一般报告,华鑫证券,"吕卓阳,石俊烨",2025Q4,,,,71469.176,3.15,,,,,买入,,
001309.SZ,德明利,20251027,“十五五”规划擘画现代化强国路径，科技创新仍是重点—电子行业点评报告,非个股,一般报告,华鑫证券,"吕卓阳,石俊烨",2026Q4,,,,103687.026,4.57,,,,,买入,,
001309.SZ,德明利,20250921,电子行业点评：AI驱动存储升级，eSSD有望加速渗透,非个股,一般报告,民生证券,"方竞,李少青",2027Q4,,,,139081.285,6.13,,,,,推荐,,
001309.SZ,德明利,20250921,电子行业点评：AI驱动存储升级，eSSD有望加速渗透,非个股,一般报告,民生证券,"方竞,李少青",2026Q4,,,,93930.917,4.14,,,,,推荐,,
001309.SZ,德明利,20250921,电子行业点评：AI驱动存储升级，eSSD有望加速渗透,非个股,一般报告,民生证券,"方竞,李少青",2025Q4,,,,56948.454,2.51,,,,,推荐,,
001309.SZ,德明利,20250908,德明利：行业周期向好，产品加速放量，股权激励体现未来信心,一般,首次关注,国投证券,"马良,董雯丹",2025Q4,902200.0,,44500.0,44500.0,1.96,48.7,0.6,15.2,41.3,买入,,113.7
001309.SZ,德明利,20250908,德明利：行业周期向好，产品加速放量，股权激励体现未来信心,一般,首次关注,国投证券,"马良,董雯丹",2026Q4,1266200.0,,82500.0,80500.0,3.55,26.9,1.3,23.4,24.2,买入,,113.7
001309.SZ,德明利,20250908,德明利：行业周期向好，产品加速放量，股权激励体现未来信心,一般,首次关注,国投证券,"马良,董雯丹",2027Q4,1603400.0,,106500.0,104600.0,4.61,20.7,1.3,24.8,18.1,买入,,113.7
001309.SZ,德明利,20250906,德明利：自研主控＋深耕模组，借存储需求扩张打开成长空间,深度,首次关注,华西证券,"单慧伟,解丰源",2025Q4,800000.0,,76200.0,70800.0,3.13,27.62,,17.4,,增持,,
001309.SZ,德明利,20250906,德明利：自研主控＋深耕模组，借存储需求扩张打开成长空间,深度,首次关注,华西证券,"单慧伟,解丰源",2026Q4,1200000.0,,114200.0,106100.0,4.69,18.43,,21.3,,增持,,
001309.SZ,德明利,20250906,德明利：自研主控＋深耕模组，借存储需求扩张打开成长空间,深度,首次关注,华西证券,"单慧伟,解丰源",2027Q4,1500000.0,,172700.0,160500.0,7.09,12.19,,25.2,,增持,,
001309.SZ,德明利,20250827,德明利：2Q25收入同环比增超100%，嵌入式与固态硬盘加速放量,点评,一般报告,国信证券,"胡剑,胡慧,叶子,张大为,詹浏洋,李书颖,连欣然",2025Q4,1001700.0,,38000.0,36100.0,1.59,60.9,0.7,12.9,56.0,优于大市,,
001309.SZ,德明利,20250827,德明利：2Q25收入同环比增超100%，嵌入式与固态硬盘加速放量,点评,一般报告,国信证券,"胡剑,胡慧,叶子,张大为,詹浏洋,李书颖,连欣然",2026Q4,1337100.0,,53700.0,51000.0,2.25,43.1,1.0,16.2,37.1,优于大市,,
001309.SZ,德明利,20250827,德明利：2Q25收入同环比增超100%，嵌入式与固态硬盘加速放量,点评,一般报告,国信证券,"胡剑,胡慧,叶子,张大为,詹浏洋,李书颖,连欣然",2027Q4,1697900.0,,107100.0,101700.0,4.48,21.6,2.0,26.4,23.8,优于大市,,
001309.SZ,德明利,20250825,德明利：25Q2季度营收29亿元创新高，同环比均翻倍,点评,一般报告,申万宏源证券,"杨海晏,李天奇,陈俊兆",2025Q4,832500.0,132100.0,80600.0,72500.0,3.2,31.0,,22.5,,买入,,
001309.SZ,德明利,20250825,德明利：25Q2季度营收29亿元创新高，同环比均翻倍,点评,一般报告,申万宏源证券,"杨海晏,李天奇,陈俊兆",2026Q4,932600.0,152500.0,90900.0,84500.0,3.73,27.0,,20.8,,买入,,
001309.SZ,德明利,20250825,德明利：25Q2季度营收29亿元创新高，同环比均翻倍,点评,一般报告,申万宏源证券,"杨海晏,李天奇,陈俊兆",2027Q4,1132700.0,182400.0,112500.0,104600.0,4.61,22.0,,20.5,,买入,,
001309.SZ,德明利,20250805,电子行业周报：半导体维持高景气，看好模拟及存储左侧布局良机,非个股,一般报告,国信证券,"胡剑,胡慧,叶子,詹浏洋,张大为,李书颖,连欣然",2026Q4,,,,49235.136,2.17,,,,,优于大市,,
