ts_code,name,report_date,report_title,report_type,classify,org_name,author_name,quarter,op_rt,op_pr,tp,np,eps,pe,rd,roe,ev_ebitda,rating,max_price,min_price
600900.SH,长江电力,20260906,长江电力：电量稳增降本增效，水电龙头彰显韧性,一般,一般报告,长江证券,"张韦华,司旗,宋尚骞,刘亚辉,张子淳",2028Q4,8834100.0,4873800.0,4808800.0,3935400.0,1.61,17.67,,15.5,12.63,买入,,
600900.SH,长江电力,20260906,长江电力：电量稳增降本增效，水电龙头彰显韧性,一般,一般报告,长江证券,"张韦华,司旗,宋尚骞,刘亚辉,张子淳",2027Q4,8834100.0,4776500.0,4711500.0,3855800.0,1.58,18.03,,15.7,12.82,买入,,
600900.SH,长江电力,20260906,长江电力：电量稳增降本增效，水电龙头彰显韧性,一般,一般报告,长江证券,"张韦华,司旗,宋尚骞,刘亚辉,张子淳",2026Q4,8763200.0,4591000.0,4526000.0,3704000.0,1.51,18.77,,15.9,13.12,买入,,
600900.SH,长江电力,20260904,长江电力：大水电资产展现出较强的盈利稳定性,点评,一般报告,天风证券,"郭丽丽,赵阳",2028Q4,8953587.0,4736904.0,4653027.0,3846266.0,1.57,18.08,,15.17,12.25,买入,,
600900.SH,长江电力,20260904,长江电力：大水电资产展现出较强的盈利稳定性,点评,一般报告,天风证券,"郭丽丽,赵阳",2027Q4,8809349.0,4612032.0,4529422.0,3744091.0,1.53,18.57,,15.44,12.77,买入,,
600900.SH,长江电力,20260904,长江电力：大水电资产展现出较强的盈利稳定性,点评,一般报告,天风证券,"郭丽丽,赵阳",2026Q4,8643175.0,4440397.0,4360573.0,3604518.0,1.47,19.29,,15.59,13.33,买入,,
600900.SH,长江电力,20260904,长江电力：业绩符合预期，配置价值凸出,点评,一般报告,东方证券,"孙辉贤,孙怡萱",2028Q4,8900300.0,4879200.0,4793300.0,3974900.0,1.62,17.5,,15.7,12.7,买入,34.27,34.27
600900.SH,长江电力,20260904,长江电力：业绩符合预期，配置价值凸出,点评,一般报告,东方证券,"孙辉贤,孙怡萱",2027Q4,8922600.0,4814000.0,4728100.0,3920800.0,1.6,17.7,,16.3,12.8,买入,34.27,34.27
600900.SH,长江电力,20260904,长江电力：业绩符合预期，配置价值凸出,点评,一般报告,东方证券,"孙辉贤,孙怡萱",2026Q4,8540700.0,4470200.0,4384200.0,3635700.0,1.49,19.1,,16.0,13.3,买入,34.27,34.27
600900.SH,长江电力,20260902,长江电力2026年半年报点评：水电发电量创新高，分红增持红利价值彰显,点评,一般报告,东吴证券,"袁理,任逸轩",2028Q2,8656600.0,4451700.0,4391700.0,3664300.0,1.5,18.96,,14.5,,买入,,
600900.SH,长江电力,20260902,长江电力2026年半年报点评：水电发电量创新高，分红增持红利价值彰显,点评,一般报告,东吴证券,"袁理,任逸轩",2027Q2,8597200.0,4454200.0,4394200.0,3643100.0,1.49,19.07,,15.05,,买入,,
600900.SH,长江电力,20260902,长江电力2026年半年报点评：水电发电量创新高，分红增持红利价值彰显,点评,一般报告,东吴证券,"袁理,任逸轩",2026Q2,8518500.0,4380300.0,4300300.0,3586500.0,1.47,19.38,,15.49,,买入,,
600900.SH,长江电力,20260901,长江电力点评：上半年电量创新高，财务降费效果显著,点评,一般报告,申万宏源研究,"王璐,朱赫",2028Q4,9362800.0,5056500.0,4987500.0,3985300.0,1.63,17.0,,15.4,,买入,,
600900.SH,长江电力,20260901,长江电力点评：上半年电量创新高，财务降费效果显著,点评,一般报告,申万宏源研究,"王璐,朱赫",2027Q4,9249400.0,4900600.0,4830600.0,3878800.0,1.59,18.0,,15.7,,买入,,
600900.SH,长江电力,20260901,长江电力点评：上半年电量创新高，财务降费效果显著,点评,一般报告,申万宏源研究,"王璐,朱赫",2026Q4,9100300.0,4633700.0,4548700.0,3735200.0,1.53,19.0,,16.0,,买入,,
600900.SH,长江电力,20260831,长江电力2026年半年报点评：折旧到期&财务费用持续压降助力业绩稳健增长,点评,一般报告,银河证券,"陶贻功,梁悠南,马敏",2028Q2,8791300.0,4642900.0,4557000.0,3721900.0,1.52,18.44,,14.7,13.4,推荐,,
600900.SH,长江电力,20260831,长江电力2026年半年报点评：折旧到期&财务费用持续压降助力业绩稳健增长,点评,一般报告,银河证券,"陶贻功,梁悠南,马敏",2027Q2,8732200.0,4573500.0,4487500.0,3665200.0,1.5,18.73,,15.1,13.52,推荐,,
600900.SH,长江电力,20260831,长江电力2026年半年报点评：折旧到期&财务费用持续压降助力业绩稳健增长,点评,一般报告,银河证券,"陶贻功,梁悠南,马敏",2026Q2,8670500.0,4457600.0,4371600.0,3570500.0,1.46,19.22,,15.4,13.63,推荐,,
600900.SH,长江电力,20260831,长江电力：26H1归母净利润同比+13.02%，财务费用节约&公允价值变动净收益贡献主要增量,一般,一般报告,兴业证券,"蔡屹,史一粟",2028Q4,8811500.0,4541700.0,4454700.0,3682300.0,1.5,18.6,,14.6,,买入,,
600900.SH,长江电力,20260831,长江电力：26H1归母净利润同比+13.02%，财务费用节约&公允价值变动净收益贡献主要增量,一般,一般报告,兴业证券,"蔡屹,史一粟",2027Q4,8774800.0,4445700.0,4358700.0,3603000.0,1.47,19.0,,14.9,,买入,,
600900.SH,长江电力,20260831,长江电力：26H1归母净利润同比+13.02%，财务费用节约&公允价值变动净收益贡献主要增量,一般,一般报告,兴业证券,"蔡屹,史一粟",2026Q4,8719500.0,4332500.0,4245500.0,3509400.0,1.43,19.6,,15.2,,买入,,
600900.SH,长江电力,20260830,长江电力：1H26市场化电站电价同比基本持平,一般,一般报告,华泰证券,"王玮嘉,李雅琳,黄波,康琪",2028Q4,8879600.0,4773900.0,4687900.0,3894300.0,1.59,17.62,4.02,15.52,13.95,买入,37.44,37.44
600900.SH,长江电力,20260830,长江电力：1H26市场化电站电价同比基本持平,一般,一般报告,华泰证券,"王玮嘉,李雅琳,黄波,康琪",2027Q4,8718100.0,4588700.0,4502700.0,3747100.0,1.53,18.32,3.87,15.69,14.44,买入,37.44,37.44
600900.SH,长江电力,20260830,长江电力：1H26市场化电站电价同比基本持平,一般,一般报告,华泰证券,"王玮嘉,李雅琳,黄波,康琪",2026Q4,8654300.0,4395300.0,4309300.0,3592700.0,1.47,19.1,3.71,15.82,14.78,买入,37.44,37.44
600900.SH,长江电力,20260829,长江电力：主汛期来水改善，增持分红强化价值,一般,一般报告,国金证券,"姜涛,许子怡,卢佳琪",2028Q4,8999900.0,4728700.0,4638700.0,3803400.0,1.554,18.05,,14.96,,买入,,
600900.SH,长江电力,20260829,长江电力：主汛期来水改善，增持分红强化价值,一般,一般报告,国金证券,"姜涛,许子怡,卢佳琪",2027Q4,8846300.0,4593900.0,4503900.0,3702300.0,1.513,18.54,,15.23,,买入,,
600900.SH,长江电力,20260829,长江电力：主汛期来水改善，增持分红强化价值,一般,一般报告,国金证券,"姜涛,许子怡,卢佳琪",2026Q4,8653200.0,4475000.0,4385000.0,3613900.0,1.477,18.99,,15.57,,买入,,
600900.SH,长江电力,20260714,China＿Yangtze＿Power＿Co：SG＿NDR＿Key＿Takeaways,点评,一般报告,Morgan Stanley,"Eva Hou,Tom Li",2027Q4,9440200.0,,,4053000.0,,17.2,4.1,17.0,12.9,Overweight,,34.79
600900.SH,长江电力,20260714,China＿Yangtze＿Power＿Co：SG＿NDR＿Key＿Takeaways,点评,一般报告,Morgan Stanley,"Eva Hou,Tom Li",2026Q4,9284100.0,,,3944500.0,,17.7,4.0,17.6,13.4,Overweight,,34.79
600900.SH,长江电力,20260708,长江电力：上游来水表现边际转弱，下游偏丰支撑平稳增长,点评,一般报告,长江证券,"张韦华,司旗,宋尚骞,刘亚辉,张子淳",2028Q4,8707600.0,5483200.0,4730300.0,3914000.0,1.6,17.0,,15.4,12.35,买入,,
600900.SH,长江电力,20260708,长江电力：上游来水表现边际转弱，下游偏丰支撑平稳增长,点评,一般报告,长江证券,"张韦华,司旗,宋尚骞,刘亚辉,张子淳",2027Q4,8707600.0,5488300.0,4617800.0,3820900.0,1.56,17.41,,15.5,12.54,买入,,
600900.SH,长江电力,20260708,长江电力：上游来水表现边际转弱，下游偏丰支撑平稳增长,点评,一般报告,长江证券,"张韦华,司旗,宋尚骞,刘亚辉,张子淳",2026Q4,8707600.0,5464700.0,4479700.0,3706600.0,1.51,17.95,,15.9,12.75,买入,,
600900.SH,长江电力,20260707,长江电力：水电龙头资产稀缺，低利率环境配置价值凸显——公司首次覆盖报告,一般,首次关注,开源证券,"王高展,黄懿轩",2028Q4,8768000.0,5792700.0,4408600.0,3626000.0,1.48,18.3,,10.8,13.2,买入,,
600900.SH,长江电力,20260707,长江电力：水电龙头资产稀缺，低利率环境配置价值凸显——公司首次覆盖报告,一般,首次关注,开源证券,"王高展,黄懿轩",2027Q4,8682500.0,5566800.0,4239100.0,3486600.0,1.42,19.0,,11.7,14.5,买入,,
600900.SH,长江电力,20260707,长江电力：水电龙头资产稀缺，低利率环境配置价值凸显——公司首次覆盖报告,一般,首次关注,开源证券,"王高展,黄懿轩",2026Q4,8700900.0,5374200.0,4198400.0,3453000.0,1.41,19.2,,13.1,15.2,买入,,
600900.SH,长江电力,20260609,长江电力：水电龙头业绩稳定，息差收益带来价值重估,深度,首份报告,财通证券,"严家源,罗鑫",2028Q4,8906844.0,,4521952.0,3713355.0,1.52,18.2,3.9,13.1,12.4,买入,,
600900.SH,长江电力,20260609,长江电力：水电龙头业绩稳定，息差收益带来价值重估,深度,首份报告,财通证券,"严家源,罗鑫",2027Q4,8966126.0,,4532692.0,3713226.0,1.52,18.2,3.9,14.1,12.5,买入,,
600900.SH,长江电力,20260609,长江电力：水电龙头业绩稳定，息差收益带来价值重估,深度,首份报告,财通证券,"严家源,罗鑫",2026Q4,8646953.0,,4308882.0,3551143.0,1.45,19.0,3.7,14.7,13.1,买入,,
600900.SH,长江电力,20260601,长江电力：业绩如期稳健，配置价值突出,点评,一般报告,华源证券,"查浩,刘晓宁,邓思平,秦雨茁",2028Q4,8789000.0,,4500300.0,3755300.0,1.53,18.08,2.94,13.75,12.0,买入,,
600900.SH,长江电力,20260601,长江电力：业绩如期稳健，配置价值突出,点评,一般报告,华源证券,"查浩,刘晓宁,邓思平,秦雨茁",2027Q4,8732100.0,,4421200.0,3689300.0,1.51,18.4,2.89,14.44,12.0,买入,,
600900.SH,长江电力,20260601,长江电力：业绩如期稳健，配置价值突出,点评,一般报告,华源证券,"查浩,刘晓宁,邓思平,秦雨茁",2026Q4,8677900.0,,4317000.0,3602300.0,1.47,18.85,2.82,15.12,13.0,买入,,
600900.SH,长江电力,20260528,长江电力跟踪报告：综合电价稳健，关注汛期来水,点评,一般报告,国泰海通,"吴杰,傅逸帆",2028Q4,8836000.0,,,3765800.0,1.54,17.7,4.2,15.0,13.07,增持,,32.34
600900.SH,长江电力,20260528,长江电力跟踪报告：综合电价稳健，关注汛期来水,点评,一般报告,国泰海通,"吴杰,傅逸帆",2027Q4,8864400.0,,,3719900.0,1.52,17.92,4.2,15.4,13.15,增持,,32.34
600900.SH,长江电力,20260528,长江电力跟踪报告：综合电价稳健，关注汛期来水,点评,一般报告,国泰海通,"吴杰,傅逸帆",2026Q4,8585800.0,,,3597700.0,1.47,18.53,3.8,15.5,13.46,增持,,32.34
600900.SH,长江电力,20260517,长江电力：发电量、业绩稳健增长，股息率3.7%＋红利价值凸显,点评,一般报告,国信证券,"黄秀杰,刘汉轩,崔佳诚",2028Q4,9294200.0,,4654100.0,3747200.0,1.53,17.6,3.0,14.5,13.2,优于大市,,
600900.SH,长江电力,20260517,长江电力：发电量、业绩稳健增长，股息率3.7%＋红利价值凸显,点评,一般报告,国信证券,"黄秀杰,刘汉轩,崔佳诚",2027Q4,9138200.0,,4494700.0,3701500.0,1.51,17.8,4.0,15.2,13.3,优于大市,,
600900.SH,长江电力,20260517,长江电力：发电量、业绩稳健增长，股息率3.7%＋红利价值凸显,点评,一般报告,国信证券,"黄秀杰,刘汉轩,崔佳诚",2026Q4,8918100.0,,4287500.0,3584200.0,1.46,18.4,4.0,15.4,13.6,优于大市,,
600900.SH,长江电力,20260513,长江电力：业绩稳健分红提升，息差高位配置价值突出,点评,一般报告,广发证券,"郭鹏,郝兆升",2028Q4,8928200.0,,4704300.0,3844500.0,1.57,17.2,,15.0,12.2,买入,,36.73
600900.SH,长江电力,20260513,长江电力：业绩稳健分红提升，息差高位配置价值突出,点评,一般报告,广发证券,"郭鹏,郝兆升",2027Q4,8857700.0,,4588700.0,3750000.0,1.53,17.6,,15.4,12.5,买入,,36.73
600900.SH,长江电力,20260513,长江电力：业绩稳健分红提升，息差高位配置价值突出,点评,一般报告,广发证券,"郭鹏,郝兆升",2026Q4,8684200.0,,4372000.0,3594500.0,1.47,18.4,,15.5,13.0,买入,,36.73
600900.SH,长江电力,20260511,长江电力2025年年报及2026年一季报点评：单季业绩表现靓丽，股息率颇具吸引力,一般,一般报告,中信证券,"李想,荣浩翔",2028Q4,8802700.0,,4743100.0,3909000.0,1.6,16.9,,15.0,9.1,买入,,34.0
600900.SH,长江电力,20260511,长江电力2025年年报及2026年一季报点评：单季业绩表现靓丽，股息率颇具吸引力,一般,一般报告,中信证券,"李想,荣浩翔",2027Q4,8770900.0,,4602400.0,3793000.0,1.55,17.4,,15.4,9.2,买入,,34.0
600900.SH,长江电力,20260511,长江电力2025年年报及2026年一季报点评：单季业绩表现靓丽，股息率颇具吸引力,一般,一般报告,中信证券,"李想,荣浩翔",2026Q4,8740000.0,,4383800.0,3612900.0,1.48,18.2,,15.5,9.3,买入,,34.0
600900.SH,长江电力,20260507,长江电力：多站增发电量增加，投资收益锦上添花,点评,一般报告,长江证券,"张韦华,司旗,宋尚骞,刘亚辉,张子淳",2028Q4,8651900.0,5429400.0,4625200.0,3827000.0,1.56,17.47,,15.1,12.58,买入,,
600900.SH,长江电力,20260507,长江电力：多站增发电量增加，投资收益锦上添花,点评,一般报告,长江证券,"张韦华,司旗,宋尚骞,刘亚辉,张子淳",2027Q4,8651900.0,5434500.0,4563500.0,3776000.0,1.54,17.7,,15.4,12.69,买入,,
600900.SH,长江电力,20260507,长江电力：多站增发电量增加，投资收益锦上添花,点评,一般报告,长江证券,"张韦华,司旗,宋尚骞,刘亚辉,张子淳",2026Q4,8651900.0,5410900.0,4476600.0,3704100.0,1.51,18.05,,15.8,12.8,买入,,
600900.SH,长江电力,20260507,长江电力：发电主业盈利稳健增长财务费用持续优化,点评,一般报告,申万宏源证券,"王璐,朱赫,常洪雨",2028Q4,9166700.0,5267000.0,4797800.0,3994300.0,1.63,17.0,,15.4,,买入,,
600900.SH,长江电力,20260507,长江电力：发电主业盈利稳健增长财务费用持续优化,点评,一般报告,申万宏源证券,"王璐,朱赫,常洪雨",2027Q4,9133600.0,5299900.0,4729300.0,3929900.0,1.61,17.0,,15.9,,买入,,
600900.SH,长江电力,20260507,长江电力：发电主业盈利稳健增长财务费用持续优化,点评,一般报告,申万宏源证券,"王璐,朱赫,常洪雨",2026Q4,8963600.0,5153900.0,4443700.0,3670500.0,1.5,18.0,,15.7,,买入,,
600900.SH,长江电力,20260507,长江电力公司点评报告：电量增长费用压降助推利润快增，延续高分红夯实回报基础,点评,一般报告,方正证券,"金宁,韩笑,范笑男",2028Q4,9553700.0,,4919800.0,4092100.0,1.67,16.17,,16.02,10.94,强烈推荐,,
600900.SH,长江电力,20260507,长江电力公司点评报告：电量增长费用压降助推利润快增，延续高分红夯实回报基础,点评,一般报告,方正证券,"金宁,韩笑,范笑男",2027Q4,9383000.0,,4803800.0,3996500.0,1.63,16.56,,16.41,11.46,强烈推荐,,
600900.SH,长江电力,20260507,长江电力公司点评报告：电量增长费用压降助推利润快增，延续高分红夯实回报基础,点评,一般报告,方正证券,"金宁,韩笑,范笑男",2026Q4,8961100.0,,4454100.0,3715100.0,1.52,17.82,,16.02,12.34,强烈推荐,,
600900.SH,长江电力,20260506,长江电力25年年报及26年一季报点评：满蓄效应显现，降本控费助力Q1业绩高增,点评,一般报告,招商证券,"宋盈盈,卢湘雪",2028Q4,9057100.0,,4555900.0,3766000.0,1.54,17.7,,14.3,13.0,增持,,
600900.SH,长江电力,20260506,长江电力25年年报及26年一季报点评：满蓄效应显现，降本控费助力Q1业绩高增,点评,一般报告,招商证券,"宋盈盈,卢湘雪",2027Q4,8957100.0,,4404200.0,3640600.0,1.49,18.3,,14.8,13.2,增持,,
600900.SH,长江电力,20260506,长江电力25年年报及26年一季报点评：满蓄效应显现，降本控费助力Q1业绩高增,点评,一般报告,招商证券,"宋盈盈,卢湘雪",2026Q4,8928800.0,,4319200.0,3570300.0,1.46,18.6,,15.6,13.1,增持,,
600900.SH,长江电力,20260503,长江电力：利润增速持续亮眼表现，高分红彰显大水电价值,点评,一般报告,天风证券,"郭丽丽,赵阳",2028Q4,8686367.0,,4568883.0,3776711.0,1.54,17.7,,12.01,11.26,买入,,
600900.SH,长江电力,20260503,长江电力：利润增速持续亮眼表现，高分红彰显大水电价值,点评,一般报告,天风证券,"郭丽丽,赵阳",2027Q4,8612300.0,,4410646.0,3645910.0,1.49,18.33,,12.91,12.29,买入,,
600900.SH,长江电力,20260503,长江电力：利润增速持续亮眼表现，高分红彰显大水电价值,点评,一般报告,天风证券,"郭丽丽,赵阳",2026Q4,8548574.0,,4301802.0,3555937.0,1.45,18.8,,14.17,12.66,买入,,
600900.SH,长江电力,20260502,长江电力2025年报&2026一季报点评：电量增长费用优化，红利价值彰显,点评,一般报告,东吴证券,"袁理,任逸轩",2028Q4,8656600.0,,4391700.0,3664300.0,1.5,18.24,,14.5,,买入,,
600900.SH,长江电力,20260502,长江电力2025年报&2026一季报点评：电量增长费用优化，红利价值彰显,点评,一般报告,东吴证券,"袁理,任逸轩",2027Q4,8597200.0,,4394200.0,3643100.0,1.49,18.35,,15.05,,买入,,
