ts_code,ann_date,end_date,q_sales_yoy,q_netprofit_yoy,dt_netprofit_yoy,q_ocf_to_sales,roe_dt
000001.SZ,20260321,20251231,-12.3572,-10.1486,-4.9,793.1208,8.1497
000002.SZ,20260401,20251231,-41.5612,-91.9784,-89.27,6.8031,-53.7703
000004.SZ,20260428,20251231,453.1717,135.0837,86.94,33.7932,-20.5612
000006.SZ,20260403,20251231,-66.5774,96.6252,96.6,-75.4824,-0.9924
000007.SZ,20260429,20251231,-37.347,-102.7997,-63.71,80.0009,1.8136
000008.SZ,20260418,20251231,-0.8508,-104.6745,-31.6,22.0681,-33.3624
000008.SZ,20260418,20251231,-0.8508,-104.6745,-31.6,22.0681,-33.3624
000009.SZ,20260425,20251231,11.2965,62.3081,-341.34,14.6512,-0.7188
000010.SZ,20260429,20251231,-57.0963,-103.4528,-467.86,15.8176,-36.083
000011.SZ,20260328,20251231,-52.8708,100.1488,99.07,43.31,-0.3666
000012.SZ,20260428,20251231,-8.9415,95.2418,-188.75,9.5323,-0.8036
000014.SZ,20260318,20251231,782.3631,-288.1696,,6.3103,
000014.SZ,20260318,20251231,782.3631,-288.1696,-992.1,6.3103,-9.7147
000016.SZ,20260429,20251231,-27.9913,-447.3462,-193.66,-24.3297,
000017.SZ,20260421,20251231,-47.3372,8.1586,168.1,22.4384,11.2097
000018.SZ,20260501,20251231,-100.0,-30.5375,-28.14,,
000019.SZ,20260428,20251231,0.8644,-100.3833,-51.77,-10.3804,2.9965
000020.SZ,20260421,20251231,-16.8599,-36.9914,-16.41,30.0409,7.3348
000021.SZ,20260429,20251231,12.4279,41.2623,7.48,-6.0157,7.7517
000025.SZ,20260422,20251231,-46.0495,-32.5088,9.44,53.1794,7.7897
000026.SZ,20260314,20251231,-7.4643,-265.8822,-60.15,20.1493,2.4725
000027.SZ,20260417,20251231,1.7665,215.3914,11.03,21.0143,3.793
000028.SZ,20260402,20251231,2.1172,142.2666,88.53,11.4899,6.0403
000029.SZ,20260320,20251231,193.787,75.149,218.37,-0.5676,6.5788
000030.SZ,20260422,20251231,6.2247,13.1418,2.62,7.5749,7.7503
000031.SZ,20260425,20251231,-33.1009,23.9632,38.96,12.5435,-23.6826
000032.SZ,20260428,20251231,-14.8459,-62.3629,-4265.07,27.0882,-4.9451
000034.SZ,20260331,20251231,13.0905,-4.4399,-30.7,-3.9489,6.9457
000035.SZ,20260429,20251231,-4.0507,64.784,23.99,11.649,2.891
000036.SZ,20260429,20251231,219.4373,1027.8026,320.68,116.5054,0.991
000037.SZ,20260415,20251231,70.5725,167.9736,7.56,26.7739,-5.1152
000039.SZ,20260327,20251231,-18.7763,-217.5188,-100.9,21.9651,-0.0607
000042.SZ,20260418,20251231,18.6888,35.9975,49.72,62.5457,-33.387
000045.SZ,20260330,20251231,-4.5347,-14.2901,-17.65,22.8849,2.1389
000046.SZ,20260425,20251231,,,,,
000046.SZ,20260425,20251231,-47.8259,-28.8346,46.4,-39.8479,
000048.SZ,20260410,20251231,-12.0051,-229.5154,-80.39,6.019,3.6803
000049.SZ,20260423,20251231,6.6689,-65.257,-33.26,8.4716,3.4045
000050.SZ,20260314,20251231,0.8814,25.6254,74.1856,5.4983,-2.107
000055.SZ,20260408,20251231,-32.8222,-10749.5931,-284.68,46.6592,-5.0504
000056.SZ,20260424,20251231,-63.9152,24.6929,-9.03,-19.8844,
000058.SZ,20260327,20251231,-10.1429,-431.8284,-54.62,51.7808,0.5508
000059.SZ,20260423,20251231,13.569,59.1722,38.67,10.7886,-16.7979
000060.SZ,20260422,20251231,-8.1479,-113.855,-23.08,3.1446,4.6658
000061.SZ,20260428,20251231,-31.3196,54.2664,-28.23,18.5709,2.8311
000062.SZ,20260327,20251231,27.8021,291.1685,164.22,-18.4776,6.2076
000063.SZ,20260307,20251231,6.7884,-42.9463,-45.45,6.4156,4.5474
000065.SZ,20260331,20251231,-26.6107,-18.2634,-30.67,4.1479,7.1163
000066.SZ,20260429,20251231,19.9332,90.9224,56.0802,10.0549,-5.8405
000068.SZ,20260326,20251231,-38.6868,-104.9186,43.63,20.0273,-8.3408
000069.SZ,20260331,20251231,-42.7529,-60.4903,-62.92,53.1518,-31.3057
000070.SZ,20260422,20251231,41.6507,-23.7345,-10.64,37.5555,-40.9216
000078.SZ,20260430,20251231,-10.5785,52.505,50.34,1.2549,-40.6827
000088.SZ,20260423,20251231,34.2404,9.0769,23.13,65.1292,7.9987
000089.SZ,20260424,20251231,1.1657,-50.8453,19.66,23.9351,3.6879
000090.SZ,20260421,20251231,3.4973,-30.3928,-71.41,9.2663,1.1752
000096.SZ,20260428,20251231,-25.1573,179.9855,20.9,13.8281,3.6874
