ts_code,ann_date,end_date,q_sales_yoy,q_netprofit_yoy,q_ocf_to_sales,roe_dt
000022.SZ,20171030,20170930,6.8115,3.8621,72.4005,9.1702
300060.SZ,20171030,20170930,-3.9801,-52.2775,-18.4841,3.0363
000658.SZ,20171101,20170930,-100.0,-33.4992,,
000699.SZ,20181101,20170930,,,,
600087.SH,20171021,20170930,-34.5947,-26.7144,19.4188,8.9244
601268.SH,20171101,20170930,41.5168,10502.6774,-11.7149,5.488
000043.SZ,20171030,20170930,-1.6516,332.6895,18.3179,-1.0111
300403.SZ,20171027,20170930,8.5734,-24.7606,25.0411,9.3471
601236.SH,20190325,20170930,,,,
600656.SH,20181031,20170930,,,,
000769.SZ,20181101,20170930,,,26.5425,
300753.SZ,20181126,20170930,,,,14.0701
300746.SZ,20181025,20170930,,,7.4715,
603590.SH,20181029,20170930,,,,
603587.SH,20181027,20170930,,,47.5549,
300454.SZ,20181027,20170930,,,31.7715,
300756.SZ,20181217,20170930,,,,27.3782
002947.SZ,20190114,20170930,,,22.8581,33.0997
300759.SZ,20190107,20170930,,,,8.5475
300769.SZ,20171220,20170930,,,,14.077
688196.SH,20180103,20170930,,,,5.7645
300782.SZ,20180323,20170930,,,,67.0911
600286.SH,20171031,20170930,-63.1235,-25.6339,2.0606,6.9525
001965.SZ,20180427,20170930,5.5782,22.0951,73.9566,
002869.SZ,20171025,20170930,-21.6296,-72.7041,17.6008,7.2618
603933.SH,20171028,20170930,28.781,84.6939,-12.5443,18.9596
000979.SZ,20171031,20170930,-55.0413,-61.9735,360.5055,0.5297
600918.SH,20180423,20170930,,,-628.3715,
603612.SH,20171026,20170930,46.3248,216.2763,0.4756,17.8696
603196.SH,20171031,20170930,12.7741,39.8029,-0.1244,5.9406
002880.SZ,20171020,20170930,-12.194,-23.5689,-8.3249,12.3969
603536.SH,20171024,20170930,15.849,54.6977,8.2259,4.6775
002415.SZ,20171031,20170930,31.3266,27.5109,18.0696,23.4663
300324.SZ,20171028,20170930,106.2234,27.9005,25.7345,5.5096
000033.SZ,20171027,20170930,-40.3341,-235.7084,-12.1805,-48.0621
000670.SZ,20171031,20170930,-37.9058,-290.7492,-20.0529,-3.5256
600594.SH,20171028,20170930,-3.7567,12.5737,21.6402,7.3771
002267.SZ,20171024,20170930,11.1064,-74.9423,7.939,4.7718
300813.SZ,20171226,20170930,,,28.0402,24.0874
600827.SH,20171031,20170930,0.7902,-13.6089,12.135,3.5919
000820.SZ,20171030,20170930,239.3227,96.5606,-136.8022,36.9079
002426.SZ,20171027,20170930,50.5839,-57.8813,-3.8382,2.1802
002240.SZ,20171025,20170930,52.3701,91.3315,1.9022,0.8342
002341.SZ,20171025,20170930,39.3082,395.2406,-20.3729,2.902
600072.SH,20171031,20170930,-37.0254,-88.7568,-45.2489,0.02
002316.SZ,20171028,20170930,-38.1261,46.594,78.1588,-6.356
000301.SZ,20171028,20170930,41.8678,-0.2482,25.3005,3.8021
300240.SZ,20171024,20170930,41.22,-10.2188,3.7649,4.836
603939.SH,20171027,20170930,29.7358,38.3436,9.3643,7.1819
600028.SH,20171031,20170930,19.4735,13.7656,8.6936,5.1399
601169.SH,20171031,20170930,5.7985,2.3766,9.3131,10.5464
601818.SH,20171031,20170930,-5.5873,6.2016,159.5315,9.6838
600959.SH,20171031,20170930,63.0953,-0.6115,-11.6963,4.8874
603588.SH,20171018,20170930,91.1515,67.0097,-3.5738,6.3943
600036.SH,20171028,20170930,11.9585,15.5816,-257.9313,13.8705
300579.SZ,20171025,20170930,11.6301,267.6924,5.652,5.8787
300438.SZ,20171024,20170930,67.0197,125.6337,-0.3702,12.2868
603589.SH,20171030,20170930,13.717,22.0088,52.7583,19.2196
601155.SH,20171028,20170930,99.4853,2685.1955,64.2634,11.7014
300653.SZ,20171030,20170930,31.2381,65.9951,48.827,11.0011
601330.SH,20180109,20170930,,,-108.8281,7.2551
601127.SH,20171027,20170930,14.8296,5.178,-2.4607,11.4635
603025.SH,20171026,20170930,97.0729,197.7911,15.1207,16.5304
601997.SH,20171031,20170930,22.3414,11.2691,-334.5355,14.1568
300690.SZ,20171026,20170930,25.2158,-0.6226,2.559,14.0275
601088.SH,20171028,20170930,34.5855,51.5443,58.334,11.5872
000010.SZ,20171028,20170930,149.1298,1431.1801,-4.3763,0.6016
601319.SH,20181115,20170930,,,-4.0104,11.5075
002018.SZ,20171021,20170930,-25.2366,34.6827,-1.8348,11.8561
300055.SZ,20171026,20170930,5.4375,56.2173,-28.2851,5.1551
002089.SZ,20171028,20170930,55.8071,31.0688,6.6674,2.2616
