ts_code,trade_date,open,high,low,close,pre_close,pct_chg,vol,amount
301348.SZ,20230810,52.0,84.24,51.5,55.58,18.08,207.4115,383981.93,2514043.338
301348.SZ,20230811,51.69,63.6,51.69,58.38,55.58,5.0378,265827.95,1532973.179
301348.SZ,20230814,58.0,58.0,51.7,52.77,58.38,-9.6095,212516.72,1161175.608
301348.SZ,20230815,51.67,57.45,51.67,52.71,52.77,-0.1137,201965.48,1107379.387
301348.SZ,20230816,48.88,51.69,46.9,50.26,52.71,-4.6481,187024.78,921962.655
301348.SZ,20230817,49.2,52.5,46.6,51.62,50.26,2.7059,190176.54,939306.011
301348.SZ,20230818,50.39,57.17,50.11,52.75,51.62,2.1891,219617.35,1192786.9
301348.SZ,20230821,52.76,54.91,48.87,52.08,52.75,-1.2701,162388.46,842180.187
301348.SZ,20230822,50.5,52.28,47.22,47.48,52.08,-8.8326,144977.74,711329.467
301348.SZ,20230823,46.61,48.49,42.7,43.13,47.48,-9.1618,131160.49,597251.238
301348.SZ,20230824,43.13,44.39,41.5,42.31,43.13,-1.9012,104111.93,447125.813
301348.SZ,20230825,41.3,41.95,38.35,38.9,42.31,-8.0596,111965.09,447305.539
301348.SZ,20230828,42.02,42.66,40.07,40.91,38.9,5.1671,117703.94,485809.556
301348.SZ,20230829,40.56,44.49,40.33,44.0,40.91,7.5532,124287.17,534555.573
301348.SZ,20230830,44.68,46.33,43.77,44.4,44.0,0.9091,137101.94,616382.607
301348.SZ,20230831,43.1,48.6,43.1,48.0,44.4,8.1081,187080.18,872757.966
301348.SZ,20230901,47.22,48.47,45.7,46.03,48.0,-4.1042,142412.82,669063.15
301348.SZ,20230904,45.17,46.59,44.3,45.36,46.03,-1.4556,94455.06,426928.485
301348.SZ,20230905,46.5,54.43,46.5,54.43,45.36,19.9956,202823.27,1040660.408
301348.SZ,20230906,52.11,65.32,52.11,65.32,54.43,20.0073,339589.23,2029780.455
301348.SZ,20230907,64.96,65.3,58.11,58.4,65.32,-10.594,262092.22,1581585.584
301348.SZ,20230908,58.11,61.51,56.18,57.53,58.4,-1.4897,232593.87,1371339.97
301348.SZ,20230911,54.64,57.54,52.8,55.36,57.53,-3.7719,175998.13,971302.024
301348.SZ,20230912,54.66,58.6,54.5,55.55,55.36,0.3432,141134.61,793728.769
301348.SZ,20230913,53.52,56.19,52.15,55.91,55.55,0.6481,140897.94,761773.214
301348.SZ,20230914,55.9,55.9,50.2,50.6,55.91,-9.4974,139026.77,724766.226
301348.SZ,20230915,50.77,53.39,48.0,51.28,50.6,1.3439,131640.67,670540.72
301348.SZ,20230918,50.1,52.01,50.03,50.58,51.28,-1.3651,89192.87,453733.732
