ts_code,trade_date,open,high,low,close,pre_close,pct_chg,vol,amount
600360.SH,20170103,8.89,9.07,8.88,9.05,8.86,2.14,82143.5,73971.891
600360.SH,20170104,9.03,9.18,8.98,9.16,9.05,1.22,115827.15,105180.084
600360.SH,20170105,9.15,10.08,9.11,9.6,9.16,4.8,344731.5,336283.365
600360.SH,20170106,9.51,9.57,9.34,9.35,9.6,-2.6,159550.03,150215.945
600360.SH,20170109,9.28,9.43,9.26,9.37,9.35,0.21,96070.01,89820.401
600360.SH,20170110,9.32,9.52,9.28,9.37,9.37,0.0,93638.15,88168.139
600360.SH,20170111,9.33,9.36,9.17,9.19,9.37,-1.92,76790.54,70994.98
600360.SH,20170112,9.17,9.23,9.01,9.02,9.19,-1.85,78160.82,71338.3
600360.SH,20170113,9.03,9.05,8.8,8.88,9.02,-1.55,93639.92,83421.578
600360.SH,20170116,8.8,8.83,8.0,8.37,8.88,-5.74,149945.65,127343.301
600360.SH,20170117,8.33,8.55,8.27,8.5,8.37,1.55,91495.44,76867.664
600360.SH,20170118,8.48,8.57,8.42,8.46,8.5,-0.47,55509.97,47016.652
600360.SH,20170119,8.43,8.76,8.42,8.63,8.46,2.01,86137.42,73752.388
600360.SH,20170120,8.54,8.72,8.54,8.67,8.63,0.46,58264.5,50508.951
600360.SH,20170123,8.62,8.85,8.62,8.71,8.67,0.46,63991.73,55897.947
600360.SH,20170124,8.67,8.78,8.63,8.75,8.71,0.46,58090.21,50553.594
600360.SH,20170125,8.76,8.86,8.7,8.83,8.75,0.91,53994.35,47425.462
600360.SH,20170126,8.84,8.87,8.8,8.84,8.83,0.11,55505.2,49013.611
600360.SH,20170203,8.85,8.86,8.68,8.7,8.84,-1.58,46887.3,40917.293
600360.SH,20170206,8.7,8.78,8.64,8.76,8.7,0.69,52168.07,45426.832
600360.SH,20170207,8.76,8.85,8.7,8.85,8.76,1.03,64001.72,56201.686
600360.SH,20170208,8.84,9.65,8.75,9.18,8.85,3.73,229634.95,212154.414
600360.SH,20170209,9.2,9.24,9.07,9.12,9.18,-0.65,126090.53,115254.313
600360.SH,20170210,9.11,9.33,9.1,9.16,9.12,0.44,123204.8,113569.647
600360.SH,20170213,9.12,9.16,9.0,9.13,9.16,-0.33,81176.12,73772.621
600360.SH,20170214,9.11,9.22,9.08,9.12,9.13,-0.11,62104.5,56863.358
600360.SH,20170215,9.12,9.15,8.98,8.99,9.12,-1.43,85430.02,77280.6
600360.SH,20170216,8.91,9.19,8.87,9.09,8.99,1.11,121023.66,109399.661
600360.SH,20170217,9.07,9.43,8.98,9.22,9.09,1.43,191616.73,176464.856
600360.SH,20170220,9.12,9.24,9.05,9.2,9.22,-0.22,107415.42,98182.679
600360.SH,20170221,9.22,9.29,9.14,9.27,9.2,0.76,97948.8,90400.084
600360.SH,20170222,9.25,9.34,9.18,9.22,9.27,-0.54,88656.09,81786.213
600360.SH,20170223,9.19,9.29,9.18,9.25,9.22,0.33,82160.26,75896.801
600360.SH,20170224,9.2,9.24,9.11,9.2,9.25,-0.54,76480.02,70205.868
600360.SH,20170227,8.89,8.97,8.8,8.85,9.2,-3.8,184346.08,163991.403
600360.SH,20170228,8.8,8.96,8.8,8.96,8.85,1.24,77468.7,68833.761
600360.SH,20170301,8.95,9.06,8.88,8.93,8.96,-0.33,102642.78,92136.722
600360.SH,20170302,8.96,8.96,8.8,8.81,8.93,-1.34,105999.1,93754.989
600360.SH,20170303,8.81,8.9,8.78,8.89,8.81,0.91,65745.83,58141.647
600360.SH,20170306,8.87,8.98,8.85,8.97,8.89,0.9,72268.7,64635.625
600360.SH,20170307,8.95,9.02,8.94,9.01,8.97,0.45,73461.46,65978.1
600360.SH,20170308,9.01,9.02,8.88,8.93,9.01,-0.89,55992.41,49933.492
600360.SH,20170309,8.9,8.94,8.81,8.85,8.93,-0.9,55588.61,49163.437
600360.SH,20170310,8.83,8.92,8.81,8.86,8.85,0.11,49730.65,44090.797
600360.SH,20170313,8.88,9.08,8.75,9.04,8.86,2.03,123035.07,109990.674
600360.SH,20170314,9.04,9.04,8.88,8.9,9.04,-1.55,78005.21,69787.912
600360.SH,20170315,8.86,8.92,8.81,8.85,8.9,-0.56,57639.72,51115.253
600360.SH,20170316,8.85,8.97,8.83,8.96,8.85,1.24,78451.63,70096.896
600360.SH,20170317,8.94,9.07,8.92,9.0,8.96,0.45,108733.81,97990.615
600360.SH,20170320,8.96,9.16,8.91,9.16,9.0,1.78,154054.69,140121.397
600360.SH,20170321,9.1,9.15,9.04,9.09,9.16,-0.76,79711.61,72360.126
600360.SH,20170322,9.06,9.12,8.98,9.11,9.09,0.22,94844.28,85923.606
600360.SH,20170323,9.1,9.37,9.1,9.2,9.11,0.99,196851.5,182196.742
600360.SH,20170324,9.3,9.89,9.3,9.49,9.2,3.15,401046.35,385574.172
600360.SH,20170327,9.43,9.59,9.31,9.36,9.49,-1.37,177329.63,167002.428
600360.SH,20170328,9.31,9.45,8.9,8.97,9.36,-4.17,375810.81,340905.704
600360.SH,20170329,8.9,9.35,8.7,9.09,8.97,1.34,342641.39,308915.013
600360.SH,20170330,9.03,9.03,8.69,8.77,9.09,-3.52,182735.65,161648.781
600360.SH,20170331,8.75,8.94,8.72,8.85,8.77,0.91,80268.73,70938.592
600360.SH,20170405,8.89,8.96,8.83,8.93,8.85,0.9,82984.99,73849.984
600360.SH,20170406,8.9,8.92,8.81,8.88,8.93,-0.56,87371.82,77521.698
600360.SH,20170407,8.85,8.87,8.77,8.82,8.88,-0.68,81129.04,71515.393
600360.SH,20170410,8.77,8.77,8.58,8.6,8.82,-2.49,133050.16,115016.036
600360.SH,20170411,8.57,8.67,8.5,8.64,8.6,0.47,98499.69,84503.959
600360.SH,20170412,8.58,8.62,8.52,8.6,8.64,-0.46,86352.79,73872.092
600360.SH,20170413,8.54,8.7,8.54,8.68,8.6,0.93,76222.02,65769.723
600360.SH,20170414,8.51,8.65,8.51,8.59,8.68,-1.04,72798.7,62575.863
600360.SH,20170417,8.51,8.55,8.24,8.32,8.59,-3.14,118419.8,99157.49
600360.SH,20170418,8.31,8.44,8.3,8.34,8.32,0.24,56078.91,46852.214
600360.SH,20170419,8.27,8.28,8.01,8.13,8.34,-2.52,102047.39,82779.359
600360.SH,20170420,8.09,8.38,8.0,8.16,8.13,0.37,65648.94,53901.921
