ts_code,trade_date,open,high,low,close,pre_close,pct_chg,vol,amount
920179.BJ,20170324,7.6,7.6,7.6,7.6,7.6,0.0,20.0,15.2
920179.BJ,20191030,6.82,6.82,6.82,6.82,7.6,-10.2632,10.0,6.82
920179.BJ,20200312,7.01,7.01,7.01,7.01,6.82,2.7859,10.0,7.01
920179.BJ,20200402,9.0,10.15,9.0,10.15,7.01,44.7932,11.0,11.05
920179.BJ,20200403,15.0,15.01,15.0,15.01,10.15,47.8818,21.0,31.52
920179.BJ,20200407,18.88,18.88,18.88,18.88,15.01,25.7828,3.0,5.664
920179.BJ,20200408,15.02,20.0,15.02,20.0,18.88,5.9322,29.0,53.02
920179.BJ,20200409,15.04,15.1,15.04,15.1,20.0,-24.5,84.0,126.774
920179.BJ,20200410,19.75,19.75,19.75,19.75,15.1,30.7947,2.0,3.95
920179.BJ,20200413,17.0,17.06,17.0,17.06,19.75,-13.6203,11.0,18.706
920179.BJ,20200414,15.0,15.0,15.0,15.0,17.06,-12.075,36.0,54.0
920179.BJ,20200416,15.0,16.0,15.0,16.0,15.0,6.6667,90.0,136.012
920179.BJ,20200424,15.0,15.0,15.0,15.0,16.0,-6.25,10.0,15.0
920179.BJ,20200428,15.3,16.0,15.3,16.0,15.0,6.6667,6.0,9.53
920179.BJ,20200506,19.0,19.0,19.0,19.0,16.0,18.75,37.0,70.3
920179.BJ,20200511,16.5,16.5,16.5,16.5,19.0,-13.1579,48.0,79.2
920179.BJ,20200512,16.56,16.56,16.55,16.55,16.5,0.303,17.0,28.136
920179.BJ,20200513,16.0,16.5,16.0,16.5,16.55,-0.3021,540.9,865.985
920179.BJ,20200514,16.6,16.6,16.6,16.6,16.5,0.6061,52.0,86.32
920179.BJ,20200518,17.5,17.5,16.5,16.5,16.6,-0.6024,121.1,199.915
920179.BJ,20200525,16.5,16.5,16.5,16.5,16.5,0.0,4.0,6.6
920179.BJ,20200527,16.5,16.5,16.5,16.5,16.5,0.0,6.0,9.9
920179.BJ,20200601,17.0,17.5,17.0,17.5,16.5,6.0606,25.0,43.25
920179.BJ,20200602,17.5,18.0,17.5,18.0,17.5,2.8571,78.0,139.31
920179.BJ,20200603,18.32,18.8,18.32,18.8,18.0,4.4444,93.0,172.032
920179.BJ,20200604,19.11,19.11,19.11,19.11,18.8,1.6489,19.0,36.309
920179.BJ,20200605,19.78,20.02,19.78,20.02,19.11,4.7619,25.0,49.81
920179.BJ,20200608,22.5,22.5,22.5,22.5,20.02,12.3876,39.0,87.75
920179.BJ,20200609,24.0,25.11,24.0,25.11,22.5,11.6,37.0,91.823
920179.BJ,20200610,25.35,26.03,25.35,26.03,25.11,3.6639,66.0,170.778
920179.BJ,20200611,26.21,26.8,26.21,26.8,26.03,2.9581,165.0,440.8
920179.BJ,20200612,28.01,28.6,28.01,28.6,26.8,6.7164,51.0,143.559
920179.BJ,20200615,28.05,28.05,26.21,26.21,28.6,-8.3566,98.0,268.27
920179.BJ,20200617,26.25,26.37,26.25,26.37,26.21,0.6105,26.0,68.538
920179.BJ,20200618,25.01,25.01,23.35,23.35,26.37,-11.4524,401.0,952.205
920179.BJ,20200622,25.0,32.99,24.88,29.97,23.35,28.3512,58.0,163.097
920179.BJ,20200624,31.8,31.8,29.99,30.3,29.97,1.1011,93.02,286.693
920179.BJ,20200629,29.98,30.3,29.89,29.89,30.3,-1.3531,83.0,249.091
920179.BJ,20200630,29.9,31.0,29.9,31.0,29.89,3.7136,105.01,314.809
920179.BJ,20200701,31.0,31.0,31.0,31.0,31.0,0.0,53.0,164.3
920179.BJ,20200702,30.0,30.0,28.9,29.82,31.0,-3.8065,168.98,504.606
920179.BJ,20200706,30.0,30.35,30.0,30.2,29.82,1.2743,725.55,2187.101
920179.BJ,20200707,30.2,31.5,30.2,31.5,30.2,4.3046,31.01,94.832
920179.BJ,20200708,38.55,38.55,38.54,38.54,31.5,22.3492,3.0,11.563
920179.BJ,20200709,36.08,38.8,36.08,37.2,38.54,-3.4769,40.8,152.768
920179.BJ,20200710,38.0,42.0,38.0,38.0,37.2,2.1505,16.0,61.2
920179.BJ,20200713,39.0,39.0,38.0,38.1,38.0,0.2632,12.0,45.71
920179.BJ,20200714,38.5,45.02,38.5,43.98,38.1,15.4331,20.33,86.639
920179.BJ,20200715,40.01,45.5,40.01,45.5,43.98,3.4561,94.65,421.082
920179.BJ,20200716,45.52,49.98,45.52,45.52,45.5,0.044,29.25,135.618
920179.BJ,20200717,48.0,48.0,46.0,46.0,45.52,1.0545,13.13,61.424
920179.BJ,20200720,46.0,50.5,46.0,48.9,46.0,6.3043,75.6,364.238
920179.BJ,20200721,50.0,50.91,50.0,50.0,48.9,2.2495,47.0,236.227
920179.BJ,20200722,65.0,65.0,58.0,58.0,50.0,16.0,22.14,131.454
920179.BJ,20200724,50.0,55.0,50.0,55.0,58.0,-5.1724,49.1,252.7
920179.BJ,20200727,56.99,56.99,55.2,55.2,55.0,0.3636,15.0,83.845
920179.BJ,20200728,54.0,54.0,45.02,49.0,55.2,-11.2319,47.14,240.149
920179.BJ,20200729,50.0,50.0,45.0,45.0,49.0,-8.1633,48.0,218.7
920179.BJ,20200730,45.97,45.97,45.97,45.97,45.0,2.1556,1.0,4.597
920179.BJ,20200731,45.85,45.85,45.85,45.85,45.97,-0.261,5.0,22.925
920179.BJ,20200803,40.11,40.11,40.0,40.1,45.85,-12.5409,18.0,72.065
920179.BJ,20200804,35.11,37.14,35.11,37.14,40.1,-7.3815,29.5,108.548
920179.BJ,20200805,45.89,45.89,44.98,44.98,37.14,21.1093,7.2,32.585
920179.BJ,20200806,44.0,44.04,44.0,44.04,44.98,-2.0898,70.86,311.787
920179.BJ,20200807,32.65,36.0,32.65,36.0,44.04,-18.2561,13.0,43.45
920179.BJ,20200811,36.84,36.84,36.84,36.84,36.0,2.3333,6.01,22.14
920179.BJ,20200813,34.44,34.44,34.44,34.44,36.84,-6.5147,0.65,2.238
920179.BJ,20200814,36.44,36.44,36.44,36.44,34.44,5.8072,14.88,54.222
920179.BJ,20200818,48.0,48.0,48.0,48.0,36.44,31.7234,1.0,4.8
920179.BJ,20200821,37.2,38.1,37.2,38.1,48.0,-20.625,2.0,7.53
920179.BJ,20200824,44.8,44.8,44.8,44.8,38.1,17.5853,1.0,4.48
920179.BJ,20200826,38.88,38.88,38.88,38.88,44.8,-13.2143,10.0,38.88
920179.BJ,20200827,38.0,38.0,38.0,38.0,38.88,-2.2634,3.0,11.4
920179.BJ,20200831,38.0,38.0,38.0,38.0,38.0,0.0,1.0,3.8
920179.BJ,20200904,40.0,40.01,40.0,40.0,38.0,5.2632,13.0,52.008
920179.BJ,20200907,38.0,38.0,38.0,38.0,40.0,-5.0,1.0,3.8
920179.BJ,20200908,38.11,40.98,38.11,40.98,38.0,7.8421,3.43,13.482
920179.BJ,20200909,40.88,41.0,40.88,40.88,40.98,-0.244,46.2,188.889
920179.BJ,20200910,38.0,38.0,38.0,38.0,40.88,-7.045,117.55,446.69
920179.BJ,20200911,38.0,38.0,38.0,38.0,38.0,0.0,5.0,19.0
920179.BJ,20200914,35.01,35.01,35.0,35.0,38.0,-7.8947,40.0,140.01
920179.BJ,20200915,35.32,35.32,35.32,35.32,35.0,0.9143,1.0,3.532
920179.BJ,20200916,35.0,35.01,35.0,35.01,35.32,-0.8777,8.0,28.003
920179.BJ,20200917,31.0,34.3,31.0,32.03,35.01,-8.5119,83.1,269.743
920179.BJ,20200918,31.0,32.0,30.6,31.8,32.03,-0.7181,27.5,86.553
920179.BJ,20200921,31.8,31.88,31.8,31.8,31.8,0.0,137.0,435.82
920179.BJ,20200922,31.8,31.8,31.0,31.0,31.8,-2.5157,70.0,221.0
920179.BJ,20200923,31.05,31.05,31.05,31.05,31.0,0.1613,1.0,3.105
920179.BJ,20200925,35.0,38.04,35.0,38.04,31.05,22.5121,9.0,33.02
920179.BJ,20200928,35.17,38.88,35.0,38.88,38.04,2.2082,10.99,39.71
920179.BJ,20200929,44.3,44.3,43.02,43.02,38.88,10.6481,11.14,48.28
920179.BJ,20200930,40.0,40.0,38.0,38.0,43.02,-11.669,13.0,50.4
920179.BJ,20201009,38.0,38.0,38.0,38.0,38.0,0.0,100.0,380.0
920179.BJ,20201012,38.0,38.0,38.0,38.0,38.0,0.0,11.0,41.8
920179.BJ,20201013,38.01,38.01,38.0,38.01,38.0,0.0263,50.0,190.03
920179.BJ,20201014,40.02,40.02,40.0,40.0,38.01,5.2355,47.0,188.054
920179.BJ,20201015,43.8,44.97,40.5,40.5,40.0,1.25,5.73,24.671
920179.BJ,20201016,45.0,45.0,43.19,43.19,40.5,6.642,3.01,13.183
920179.BJ,20201021,46.8,46.8,46.8,46.8,43.19,8.3584,1.0,4.68
920179.BJ,20201022,46.5,46.5,46.5,46.5,46.8,-0.641,3.0,13.95
920179.BJ,20201028,45.0,45.0,45.0,45.0,46.5,-3.2258,10.0,45.0
920179.BJ,20201106,40.88,40.88,40.88,40.88,45.0,-9.1556,4.99,20.399
920179.BJ,20201110,43.86,43.88,43.86,43.88,40.88,7.3386,32.65,143.222
