ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
002463.SZ,20180102,5.32,1.1537,1.7617,0.52,68.2466,39.1166,2.5867,2.3498,2.0314,0.9398,0.9398,167415.9763,167347.0123,109590.452,890652.9939,890286.1054
002463.SZ,20180103,5.33,1.9695,3.0075,0.97,68.3749,39.1902,2.5916,2.3542,2.0352,0.9381,0.9381,167415.9763,167347.0123,109590.452,892327.1537,891959.5756
002463.SZ,20180104,5.35,1.7343,2.6483,0.95,68.6315,39.3372,2.6013,2.3631,2.0428,0.9346,0.9346,167415.9763,167347.0123,109590.452,895675.4732,895306.5158
002463.SZ,20180105,5.28,1.5987,2.4412,1.05,67.7335,38.8225,2.5672,2.3322,2.0161,0.947,0.947,167415.9763,167347.0123,109590.452,883956.3549,883592.2249
002463.SZ,20180108,5.14,2.1787,3.3269,1.42,65.9375,37.7931,2.4992,2.2703,1.9626,0.9728,0.9728,167415.9763,167347.0123,109590.452,860518.1182,860163.6432
002463.SZ,20180109,5.15,1.37,2.092,0.79,66.0658,37.8667,2.504,2.2747,1.9664,0.9709,0.9709,167415.9763,167347.0123,109590.452,862192.2779,861837.1133
002463.SZ,20180110,5.17,1.486,2.2692,0.84,66.3224,38.0137,2.5138,2.2836,1.9741,0.9671,0.9671,167415.9763,167347.0123,109590.452,865540.5975,865184.0536
002463.SZ,20180111,5.14,0.9218,1.4077,0.55,65.9375,37.7931,2.4992,2.2703,1.9626,0.9728,0.9728,167415.9763,167347.0123,109590.452,860518.1182,860163.6432
002463.SZ,20180112,5.08,0.7998,1.2213,0.53,65.1678,37.352,2.47,2.2438,1.9397,0.9843,0.9843,167415.9763,167347.0123,109590.452,850473.1596,850122.8225
002463.SZ,20180115,4.9,1.6864,2.5752,1.25,62.8587,36.0285,2.3825,2.1643,1.871,1.0204,1.0204,167415.9763,167347.0123,109590.452,820338.2839,820000.3603
002463.SZ,20180116,4.75,1.9387,2.9604,1.55,60.9345,34.9256,2.3096,2.0981,1.8137,1.0526,1.0526,167415.9763,167347.0123,109590.452,795225.8874,794898.3084
002463.SZ,20180117,4.75,1.5776,2.409,1.15,60.9345,34.9256,2.3096,2.0981,1.8137,1.0526,1.0526,167415.9763,167347.0123,109590.452,795225.8874,794898.3084
002463.SZ,20180118,4.75,0.938,1.4323,0.68,60.9345,34.9256,2.3096,2.0981,1.8137,1.0526,1.0526,167415.9763,167347.0123,109590.452,795225.8874,794898.3084
002463.SZ,20180119,4.73,1.4288,2.1818,1.03,60.6779,34.7785,2.2998,2.0892,1.8061,1.0571,1.0571,167415.9763,167347.0123,109590.452,791877.5679,791551.3682
002463.SZ,20180122,4.86,1.3591,2.0754,0.9,62.3456,35.7344,2.363,2.1467,1.8557,1.0288,1.0288,167415.9763,167347.0123,109590.452,813641.6448,813306.4798
002463.SZ,20180123,4.83,0.7353,1.1228,0.51,61.9608,35.5138,2.3484,2.1334,1.8443,1.0352,1.0352,167415.9763,167347.0123,109590.452,808619.1655,808286.0694
002463.SZ,20180124,4.83,1.0839,1.6552,0.9,61.9608,35.5138,2.3484,2.1334,1.8443,1.0352,1.0352,167415.9763,167347.0123,109590.452,808619.1655,808286.0694
002463.SZ,20180125,4.8,1.029,1.5713,0.93,61.5759,35.2932,2.3339,2.1201,1.8328,1.0417,1.0417,167415.9763,167347.0123,109590.452,803596.6862,803265.659
002463.SZ,20180126,4.77,0.8357,1.2762,0.74,61.1911,35.0726,2.3193,2.1069,1.8213,1.0482,1.0482,167415.9763,167347.0123,109590.452,798574.207,798245.2487
002463.SZ,20180129,4.65,1.1836,1.8074,1.17,59.6517,34.1903,2.2609,2.0539,1.7755,1.0753,1.0753,167415.9763,167347.0123,109590.452,778484.2898,778163.6072
002463.SZ,20180130,4.66,0.4552,0.6951,0.47,59.7799,34.2638,2.2658,2.0583,1.7793,1.073,1.073,167415.9763,167347.0123,109590.452,780158.4496,779837.0773
002463.SZ,20180131,4.41,1.5478,2.3636,1.69,56.5729,32.4256,2.1442,1.9479,1.6839,1.1338,1.1338,167415.9763,167347.0123,109590.452,738304.4555,738000.3242
002463.SZ,20180201,4.27,2.669,4.0756,2.64,54.7769,31.3962,2.0762,1.886,1.6304,1.171,1.171,167415.9763,167347.0123,109590.452,714866.2188,714571.7425
002463.SZ,20180202,4.31,0.7989,1.2199,0.6,55.29,31.6904,2.0956,1.9037,1.6457,1.1601,1.1601,167415.9763,167347.0123,109590.452,721562.8579,721265.623
002463.SZ,20180205,4.26,0.6576,1.0041,0.49,54.6486,31.3227,2.0713,1.8816,1.6266,1.1737,1.1737,167415.9763,167347.0123,109590.452,713192.059,712898.2724
002463.SZ,20180206,4.08,1.2494,1.9079,1.02,52.3395,29.9992,1.9838,1.8021,1.5579,1.2255,1.2255,167415.9763,167347.0123,109590.452,683057.1833,682775.8102
002463.SZ,20180207,4.11,1.6153,2.4666,1.17,52.7244,30.2198,1.9984,1.8154,1.5693,1.2165,1.2165,167415.9763,167347.0123,109590.452,688079.6626,687796.2206
002463.SZ,20180208,4.18,0.8438,1.2885,0.6,53.6223,30.7345,2.0324,1.8463,1.5961,1.1962,1.1962,167415.9763,167347.0123,109590.452,699798.7809,699510.5114
002463.SZ,20180209,4.2,1.5343,2.3429,1.49,53.8789,30.8815,2.0421,1.8551,1.6037,1.1905,1.1905,167415.9763,167347.0123,109590.452,703147.1005,702857.4517
002463.SZ,20180212,4.46,1.6242,2.4801,1.38,57.2143,32.7933,2.1685,1.97,1.703,1.1211,1.1211,167415.9763,167347.0123,109590.452,746675.2543,746367.6749
002463.SZ,20180213,4.37,1.1495,1.7553,0.84,56.0597,32.1315,2.1248,1.9302,1.6686,1.1442,1.1442,167415.9763,167347.0123,109590.452,731607.8164,731306.4438
