trade_date,ts_code,rzye,rqye,rzmre,rqyl,rzche,rqchl,rqmcl,rzrqye
20200413,002463.SZ,10131836.0,0.0,12858062.0,0.0,126186481.0,4100.0,0.0,10131836.0
20200414,002463.SZ,32947769.0,808320.0,34025501.0,32000.0,11209568.0,0.0,32000.0,33756089.0
20200415,002463.SZ,54998352.0,3563871.0,44635423.0,143300.0,22584840.0,0.0,111300.0,58562223.0
20200416,002463.SZ,63050986.0,4303039.0,25338011.0,173300.0,17285377.0,0.0,30000.0,67354025.0
20200417,002463.SZ,104612138.0,4614620.0,86492483.0,179000.0,44931331.0,11300.0,17000.0,109226758.0
20200420,002463.SZ,154776656.0,5282300.0,80287358.0,202000.0,30122840.0,27000.0,50000.0,160058956.0
20200421,002463.SZ,207401497.0,9757566.0,107468360.0,362600.0,54843519.0,0.0,160600.0,217159063.0
20200422,002463.SZ,207001571.0,14009905.0,56290670.0,525700.0,56690596.0,20000.0,183100.0,221011476.0
20200423,002463.SZ,246979978.0,18587216.0,101245043.0,712700.0,61266636.0,1800.0,188800.0,265567194.0
20200424,002463.SZ,241330588.0,19571292.0,40520486.0,765700.0,46169876.0,31300.0,84300.0,260901880.0
20200427,002463.SZ,233894965.0,23889460.0,54371378.0,931000.0,61807001.0,36000.0,201300.0,257784425.0
20200428,002463.SZ,249920373.0,29679901.0,72336910.0,1138033.0,56311502.0,30500.0,237533.0,279600274.0
20200429,002463.SZ,274421302.0,30553225.0,68675647.0,1186533.0,44174718.0,58700.0,107200.0,304974527.0
20200430,002463.SZ,305320461.0,29490480.0,146797767.0,1097933.0,115898608.0,194600.0,106000.0,334810941.0
20200506,002463.SZ,316901399.0,32165063.0,115623992.0,1157433.0,104043054.0,52600.0,112100.0,349066462.0
20200507,002463.SZ,354786188.0,36056722.0,127901520.0,1316900.0,90016731.0,49733.0,209200.0,390842910.0
20200508,002463.SZ,368749426.0,34950491.0,85697709.0,1275100.0,71734471.0,105800.0,64000.0,403699917.0
20200511,002463.SZ,390223366.0,38217201.0,108724716.0,1422300.0,87250776.0,72500.0,219700.0,428440567.0
20200512,002463.SZ,411160819.0,44776969.0,78791663.0,1640182.0,57854210.0,63600.0,281482.0,455937788.0
20200513,002463.SZ,427844964.0,45134161.0,60751855.0,1666082.0,44067710.0,87000.0,112900.0,472979125.0
20200514,002463.SZ,439223291.0,45690545.0,67237729.0,1695382.0,55859402.0,134600.0,163900.0,484913836.0
20200515,002463.SZ,476295195.0,48214198.0,122660475.0,1811202.0,85588571.0,101700.0,217520.0,524509393.0
20200518,002463.SZ,474839410.0,43715050.0,143042289.0,1748602.0,144498074.0,397100.0,334500.0,518554460.0
