ts_code,trade_date,buy_sm_vol,buy_sm_amount,sell_sm_vol,sell_sm_amount,buy_md_vol,buy_md_amount,sell_md_vol,sell_md_amount,buy_lg_vol,buy_lg_amount,sell_lg_vol,sell_lg_amount,buy_elg_vol,buy_elg_amount,sell_elg_vol,sell_elg_amount,net_mf_vol,net_mf_amount
002463.SZ,20180102,60729,3227.68,51682,2748.73,63842,3393.28,50479,2684.66,56225,2991.86,61973,3296.42,12267,654.87,28929,1537.88,-34158,-1804.06
002463.SZ,20180103,97922,5159.23,67374,3561.57,111813,5896.68,102206,5396.62,90626,4784.63,97845,5165.05,29230,1551.6,62166,3268.9,-36097,-1872.07
002463.SZ,20180104,67172,3581.11,66649,3560.88,95098,5073.04,82869,4425.65,95272,5094.41,102047,5444.84,32688,1744.21,38666,2061.39,-13407,-698.54
002463.SZ,20180105,81795,4352.47,44689,2383.1,82931,4416.69,80136,4269.32,72549,3861.62,102891,5477.63,30258,1616.42,39817,2117.16,-36503,-1930.58
002463.SZ,20180108,145869,7499.66,76683,3941.59,122560,6302.61,122099,6286.41,77720,3998.54,109197,5619.66,18449,947.17,56619,2900.33,-98919,-5078.75
002463.SZ,20180109,66100,3394.88,52657,2710.3,65823,3384.33,63034,3244.79,69613,3582.98,81555,4193.9,27732,1429.19,32022,1642.4,-9024,-444.46
002463.SZ,20180110,76773,3923.16,60840,3115.87,78404,4009.5,89673,4587.83,74049,3794.25,61359,3138.57,19456,996.74,36811,1881.38,-15217,-758.09
002463.SZ,20180111,44221,2266.77,40380,2073.5,52030,2669.16,52301,2683.41,48068,2468.77,52047,2669.55,9949,512.25,9541,490.5,-19333,-981.16
002463.SZ,20180112,45523,2330.35,29412,1506.87,49785,2551.46,45103,2310.53,20742,1062.55,46015,2356.11,17790,911.0,13310,681.86,-46599,-2376.62
002463.SZ,20180115,103485,5138.03,68196,3397.1,103281,5133.79,95265,4741.41,67868,3379.4,92212,4578.9,7580,378.52,26540,1312.32,-86860,-4291.53
002463.SZ,20180116,135627,6535.79,57767,2783.87,116471,5616.26,125015,6032.76,64160,3100.83,108816,5245.25,8170,388.08,32830,1579.07,-92459,-4429.55
002463.SZ,20180117,88194,4141.81,60213,2839.96,97744,4594.48,89934,4233.74,62200,2920.42,91442,4275.73,6249,294.32,12798,601.61,-7187,-317.38
002463.SZ,20180118,57576,2744.63,34665,1654.93,57264,2730.25,45860,2189.05,42130,2011.33,40440,1926.52,0,0.0,36005,1715.71,-15095,-708.61
002463.SZ,20180119,76782,3615.98,50303,2378.71,80582,3796.65,83271,3928.31,79288,3743.32,76047,3582.93,2448,113.83,29480,1379.82,-33754,-1562.81
002463.SZ,20180122,64488,3068.41,67227,3219.7,89136,4252.43,79617,3799.89,45666,2176.16,63737,3036.82,28153,1359.11,16862,799.7,46026,2216.88
002463.SZ,20180123,46138,2227.6,28843,1393.62,48560,2345.55,49872,2407.96,22643,1094.14,41163,1987.91,5705,276.1,3168,153.91,-24980,-1201.98
002463.SZ,20180124,51350,2465.04,33756,1624.16,49885,2396.13,53555,2572.68,33914,1629.82,45993,2203.66,46241,2200.02,48085,2290.52,-57337,-2722.65
002463.SZ,20180125,53629,2585.32,40735,1967.43,58043,2799.9,56314,2720.3,55362,2679.07,51850,2501.42,5164,250.97,23298,1126.11,-10860,-514.94
002463.SZ,20180126,47314,2262.59,29184,1396.37,39339,1880.04,36391,1740.89,23109,1104.85,30044,1436.88,29165,1386.86,43308,2060.2,-59437,-2826.59
002463.SZ,20180129,75587,3540.98,40628,1905.14,63181,2960.72,56075,2627.06,39510,1851.27,70252,3294.73,19798,936.46,31121,1462.49,-88548,-4148.04
002463.SZ,20180130,32883,1530.88,23326,1085.91,28192,1312.53,28882,1344.72,15105,702.85,23972,1115.62,0,0.0,0,0.0,-1799,-80.44
002463.SZ,20180131,105288,4735.86,45828,2065.67,102743,4620.48,81518,3677.1,50236,2262.9,97759,4397.97,756,34.04,33918,1512.55,-91047,-4091.84
002463.SZ,20180201,111000,4764.29,94028,4042.28,109543,4693.96,132726,5685.98,109651,4688.0,153162,6537.01,116451,4957.49,66729,2838.47,-140891,-6007.98
002463.SZ,20180202,46861,2007.16,42411,1819.88,46935,2011.46,50601,2170.81,36176,1554.74,36178,1548.9,3719,160.29,4500,194.06,18729,810.34
002463.SZ,20180205,35241,1504.72,30342,1295.82,38207,1631.58,41891,1789.57,30864,1317.53,24903,1062.21,5728,245.19,12904,551.42,-18471,-783.49
002463.SZ,20180206,70187,2908.68,41325,1714.58,64085,2652.78,65182,2702.87,38916,1608.7,90948,3756.15,35901,1486.44,11634,483.01,-70663,-2914.55
002463.SZ,20180207,86124,3485.2,62033,2522.52,91082,3690.31,89429,3633.42,66779,2718.6,103687,4201.25,26335,1080.33,15171,617.25,-32547,-1319.76
002463.SZ,20180208,36112,1501.07,42564,1771.98,51843,2153.48,54306,2257.95,43752,1822.75,41398,1722.03,9496,397.1,2936,122.43,14179,591.97
002463.SZ,20180209,76763,3212.86,85859,3603.77,97224,4070.24,105747,4424.99,77029,3241.65,62426,2627.38,5744,243.79,2728,112.41,-2403,-72.89
002463.SZ,20180212,52173,2264.37,100418,4374.19,87845,3817.95,101893,4430.78,110072,4806.9,54825,2395.99,21709,954.36,14662,642.62,70194,3072.85
002463.SZ,20180213,78412,3426.33,48902,2146.73,68952,3014.02,50373,2205.86,39556,1730.35,58089,2538.94,5444,237.36,35000,1516.52,-69198,-3020.22
002463.SZ,20180214,46967,2019.04,34016,1464.8,40814,1756.12,28905,1244.5,13206,567.69,31066,1334.12,0,0.0,7000,299.43,-38851,-1666.97
002463.SZ,20180222,29483,1288.07,45403,1985.49,40078,1749.77,45830,2003.2,51870,2271.94,32702,1431.69,5515,242.19,3011,131.58,15230,667.43
002463.SZ,20180223,35662,1558.63,35867,1571.89,39347,1721.63,45628,1999.09,47806,2093.43,41646,1817.32,2998,131.91,2672,117.3,-13510,-585.54
002463.SZ,20180226,69627,3155.18,76153,3443.7,73637,3332.86,76081,3442.5,64155,2892.03,65050,2940.79,12865,584.06,3000,137.14,83817,3803.47
002463.SZ,20180227,49957,2295.77,56393,2590.7,59533,2736.27,62957,2895.01,64731,2974.81,60024,2760.21,8248,381.81,3096,142.73,-567,-14.44
002463.SZ,20180228,54558,2516.69,48749,2252.46,57660,2660.94,61387,2834.45,42299,1957.46,51269,2370.15,6888,321.95,0,0.0,22990,1071.18
002463.SZ,20180301,38448,1795.12,49420,2309.01,50304,2349.2,52571,2454.39,45213,2110.92,32795,1530.27,821,38.42,0,0.0,13598,642.73
002463.SZ,20180302,70347,3312.6,80419,3796.13,80946,3823.82,77076,3640.64,58134,2749.73,44543,2101.94,3628,169.85,11017,517.31,18051,875.62
002463.SZ,20180305,62272,2890.18,59551,2767.02,54591,2534.92,46887,2177.66,28242,1314.4,33486,1556.46,26,1.21,5207,239.56,-22174,-1019.16
002463.SZ,20180306,57420,2718.47,55982,2651.55,57384,2717.46,61909,2932.22,45217,2142.51,38281,1812.53,4606,218.79,8455,400.93,43606,2071.45
002463.SZ,20180307,58513,2752.5,37012,1743.45,54860,2580.71,41493,1953.75,18624,876.25,46270,2173.11,5810,272.38,13032,611.52,-32092,-1499.62
002463.SZ,20180308,41190,1920.65,22888,1068.31,28220,1316.27,32214,1502.74,20029,934.73,34337,1600.61,0,0.0,0,0.0,-5090,-232.3
002463.SZ,20180309,66601,3215.45,103052,4976.67,79454,3838.06,96522,4658.21,94922,4579.18,50844,2451.09,18422,889.03,8980,435.75,96511,4666.4
002463.SZ,20180312,86796,4268.24,67725,3343.14,84032,4136.46,73395,3618.02,44951,2218.1,69854,3439.04,13895,691.05,18700,913.66,1505,101.54
002463.SZ,20180313,60107,2931.54,49869,2433.96,53647,2618.45,54478,2659.12,13027,636.53,22434,1093.45,0,0.0,0,0.0,3769,192.52
002463.SZ,20180314,88632,4234.07,56950,2723.68,66548,3181.34,57476,2748.82,23435,1118.67,60263,2876.23,4227,202.45,8153,387.8,-51225,-2438.14
002463.SZ,20180315,78670,3652.96,48324,2248.57,57513,2672.4,65971,3068.26,55335,2576.63,56580,2628.85,5439,253.87,26082,1210.18,-32661,-1501.61
002463.SZ,20180316,50799,2363.56,34859,1623.02,47476,2209.54,48493,2254.21,9484,441.35,23554,1097.79,2346,109.79,3199,149.23,-23395,-1079.24
002463.SZ,20180319,66121,3060.49,63606,2953.95,75442,3496.52,86344,3999.22,34330,1595.45,28395,1314.04,2452,114.75,0,0.0,-15324,-687.74
002463.SZ,20180320,34943,1608.93,38024,1753.38,37077,1707.51,41883,1929.46,31359,1446.23,24146,1111.39,4649,214.08,3975,182.51,1923,96.48
002463.SZ,20180321,57611,2686.97,48329,2255.84,48388,2252.77,49062,2286.09,18416,859.9,23682,1102.71,302,14.16,3642,169.17,-17165,-787.27
002463.SZ,20180322,160580,7109.37,66925,2968.98,121587,5381.76,115600,5113.09,73995,3275.29,146886,6505.54,12226,538.53,38977,1717.35,-111148,-4909.37
