index_code,industry_name,level,industry_code,parent_code,is_pub,ts_code
801016.SI,种植业,L2,110100,110000,1,801016.SI
801015.SI,渔业,L2,110200,110000,1,801015.SI
801014.SI,饲料,L2,110400,110000,1,801014.SI
801012.SI,农产品加工,L2,110500,110000,1,801012.SI
801017.SI,养殖业,L2,110700,110000,1,801017.SI
801018.SI,动物保健Ⅱ,L2,110800,110000,1,801018.SI
801033.SI,化学原料,L2,220200,220000,1,801033.SI
801034.SI,化学制品,L2,220300,220000,1,801034.SI
801032.SI,化学纤维,L2,220400,220000,1,801032.SI
801036.SI,塑料,L2,220500,220000,1,801036.SI
801037.SI,橡胶,L2,220600,220000,1,801037.SI
801038.SI,农化制品,L2,220800,220000,1,801038.SI
801039.SI,非金属材料Ⅱ,L2,220900,220000,1,801039.SI
801043.SI,冶钢原料,L2,230300,230000,1,801043.SI
801044.SI,普钢,L2,230400,230000,1,801044.SI
801045.SI,特钢Ⅱ,L2,230500,230000,1,801045.SI
801051.SI,金属新材料,L2,240200,240000,1,801051.SI
801055.SI,工业金属,L2,240300,240000,1,801055.SI
801053.SI,贵金属,L2,240400,240000,1,801053.SI
801054.SI,小金属,L2,240500,240000,1,801054.SI
801056.SI,能源金属,L2,240600,240000,1,801056.SI
801081.SI,半导体,L2,270100,270000,1,801081.SI
801083.SI,元件,L2,270200,270000,1,801083.SI
801084.SI,光学光电子,L2,270300,270000,1,801084.SI
801082.SI,其他电子Ⅱ,L2,270400,270000,1,801082.SI
801085.SI,消费电子,L2,270500,270000,1,801085.SI
801086.SI,电子化学品Ⅱ,L2,270600,270000,1,801086.SI
801093.SI,汽车零部件,L2,280200,280000,1,801093.SI
801092.SI,汽车服务,L2,280300,280000,1,801092.SI
801881.SI,摩托车及其他,L2,280400,280000,1,801881.SI
801095.SI,乘用车,L2,280500,280000,1,801095.SI
801096.SI,商用车,L2,280600,280000,1,801096.SI
801111.SI,白色家电,L2,330100,330000,1,801111.SI
801112.SI,黑色家电,L2,330200,330000,1,801112.SI
801113.SI,小家电,L2,330300,330000,1,801113.SI
801114.SI,厨卫电器,L2,330400,330000,1,801114.SI
801115.SI,照明设备Ⅱ,L2,330500,330000,1,801115.SI
801116.SI,家电零部件Ⅱ,L2,330600,330000,1,801116.SI
801124.SI,食品加工,L2,340400,340000,1,801124.SI
801125.SI,白酒Ⅱ,L2,340500,340000,1,801125.SI
801126.SI,非白酒,L2,340600,340000,1,801126.SI
801127.SI,饮料乳品,L2,340700,340000,1,801127.SI
801128.SI,休闲食品,L2,340800,340000,1,801128.SI
801129.SI,调味发酵品Ⅱ,L2,340900,340000,1,801129.SI
801131.SI,纺织制造,L2,350100,350000,1,801131.SI
801132.SI,服装家纺,L2,350200,350000,1,801132.SI
801133.SI,饰品,L2,350300,350000,1,801133.SI
801143.SI,造纸,L2,360100,360000,1,801143.SI
801141.SI,包装印刷,L2,360200,360000,1,801141.SI
801142.SI,家居用品,L2,360300,360000,1,801142.SI
801145.SI,文娱用品,L2,360500,360000,1,801145.SI
801151.SI,化学制药,L2,370100,370000,1,801151.SI
801155.SI,中药Ⅱ,L2,370200,370000,1,801155.SI
801152.SI,生物制品,L2,370300,370000,1,801152.SI
801154.SI,医药商业,L2,370400,370000,1,801154.SI
801153.SI,医疗器械,L2,370500,370000,1,801153.SI
801156.SI,医疗服务,L2,370600,370000,1,801156.SI
801161.SI,电力,L2,410100,410000,1,801161.SI
801163.SI,燃气Ⅱ,L2,410300,410000,1,801163.SI
801178.SI,物流,L2,420800,420000,1,801178.SI
801179.SI,铁路公路,L2,420900,420000,1,801179.SI
801991.SI,航空机场,L2,421000,420000,1,801991.SI
801992.SI,航运港口,L2,421100,420000,1,801992.SI
801181.SI,房地产开发,L2,430100,430000,1,801181.SI
801183.SI,房地产服务,L2,430300,430000,1,801183.SI
801202.SI,贸易Ⅱ,L2,450200,450000,1,801202.SI
801203.SI,一般零售,L2,450300,450000,1,801203.SI
801204.SI,专业连锁Ⅱ,L2,450400,450000,1,801204.SI
801206.SI,互联网电商,L2,450600,450000,1,801206.SI
801218.SI,专业服务,L2,460800,460000,1,801218.SI
801219.SI,酒店餐饮,L2,460900,460000,1,801219.SI
801993.SI,旅游及景区,L2,461000,460000,1,801993.SI
801994.SI,教育,L2,461100,460000,1,801994.SI
801782.SI,国有大型银行Ⅱ,L2,480200,480000,1,801782.SI
801783.SI,股份制银行Ⅱ,L2,480300,480000,1,801783.SI
801784.SI,城商行Ⅱ,L2,480400,480000,1,801784.SI
801785.SI,农商行Ⅱ,L2,480500,480000,1,801785.SI
801193.SI,证券Ⅱ,L2,490100,490000,1,801193.SI
801194.SI,保险Ⅱ,L2,490200,490000,1,801194.SI
801191.SI,多元金融,L2,490300,490000,1,801191.SI
801231.SI,综合Ⅱ,L2,510100,510000,1,801231.SI
801711.SI,水泥,L2,610100,610000,1,801711.SI
801712.SI,玻璃玻纤,L2,610200,610000,1,801712.SI
801713.SI,装修建材,L2,610300,610000,1,801713.SI
801721.SI,房屋建设Ⅱ,L2,620100,620000,1,801721.SI
801722.SI,装修装饰Ⅱ,L2,620200,620000,1,801722.SI
801723.SI,基础建设,L2,620300,620000,1,801723.SI
801724.SI,专业工程,L2,620400,620000,1,801724.SI
801726.SI,工程咨询服务Ⅱ,L2,620600,620000,1,801726.SI
801731.SI,电机Ⅱ,L2,630100,630000,1,801731.SI
801733.SI,其他电源设备Ⅱ,L2,630300,630000,1,801733.SI
801735.SI,光伏设备,L2,630500,630000,1,801735.SI
801736.SI,风电设备,L2,630600,630000,1,801736.SI
801737.SI,电池,L2,630700,630000,1,801737.SI
801738.SI,电网设备,L2,630800,630000,1,801738.SI
801072.SI,通用设备,L2,640100,640000,1,801072.SI
801074.SI,专用设备,L2,640200,640000,1,801074.SI
801076.SI,轨交设备Ⅱ,L2,640500,640000,1,801076.SI
801077.SI,工程机械,L2,640600,640000,1,801077.SI
801078.SI,自动化设备,L2,640700,640000,1,801078.SI
801741.SI,航天装备Ⅱ,L2,650100,650000,1,801741.SI
801742.SI,航空装备Ⅱ,L2,650200,650000,1,801742.SI
801743.SI,地面兵装Ⅱ,L2,650300,650000,1,801743.SI
