ts_code,trade_date,name,open,high,low,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
801092.SI,20180102,汽车服务,1250.33,1266.66,1245.93,1260.79,9.15,0.73,9298.0,77067.0,26.33,1.83,5764345.0,16149878.555741
801092.SI,20180103,汽车服务,1261.19,1289.63,1251.37,1279.78,18.99,1.51,20729.0,123209.0,26.78,1.86,5851175.0,16336517.400393
801092.SI,20180104,汽车服务,1277.36,1301.12,1266.86,1279.17,-0.61,-0.05,14456.0,112111.0,26.76,1.86,5848391.0,16374894.321858
801092.SI,20180105,汽车服务,1279.31,1299.53,1265.55,1280.99,1.82,0.14,12182.0,108342.0,26.79,1.86,5856696.0,16367428.257576
801092.SI,20180108,汽车服务,1276.11,1287.91,1254.87,1272.88,-8.11,-0.63,12279.0,101163.0,26.59,1.85,5819609.0,16236756.885934
801092.SI,20180109,汽车服务,1272.48,1289.27,1266.24,1281.7,8.82,0.69,9662.0,95914.0,26.79,1.86,5859917.0,16378729.9706
801092.SI,20180110,汽车服务,1278.67,1286.94,1259.03,1275.02,-6.68,-0.52,11109.0,104837.0,26.65,1.85,5829381.0,16269156.164963
801092.SI,20180111,汽车服务,1273.02,1291.63,1260.91,1279.71,4.69,0.37,11466.0,88812.0,26.74,1.86,5850843.0,16309274.91753
801092.SI,20180112,汽车服务,1276.1,1287.95,1255.36,1265.83,-13.88,-1.08,11108.0,88311.0,26.44,1.84,5787376.0,16089737.385294
801092.SI,20180115,汽车服务,1261.14,1277.24,1234.16,1251.53,-14.3,-1.13,13243.0,122554.0,26.17,1.82,5722014.0,15926340.940702
801092.SI,20180116,汽车服务,1246.23,1255.62,1227.63,1243.0,-8.54,-0.68,9868.0,92555.0,25.96,1.81,5682991.0,15789101.710645
801092.SI,20180117,汽车服务,1240.58,1255.23,1218.17,1245.97,2.97,0.24,10192.0,88886.0,26.03,1.81,5696579.0,15878866.940832
801092.SI,20180118,汽车服务,1245.42,1250.88,1228.14,1238.28,-7.69,-0.62,7539.0,61560.0,25.85,1.8,5661418.0,15761861.137963
801092.SI,20180119,汽车服务,1239.36,1251.92,1223.02,1235.72,-2.56,-0.21,9616.0,83012.0,25.78,1.79,5649715.0,15648415.070146
801092.SI,20180122,汽车服务,1232.92,1257.56,1218.35,1251.7,15.98,1.29,8668.0,77322.0,26.14,1.82,5722773.0,15955928.817638
801092.SI,20180123,汽车服务,1248.88,1264.73,1239.13,1251.69,-0.01,0.0,9936.0,76876.0,26.14,1.82,5722711.0,15960705.396739
801092.SI,20180124,汽车服务,1252.58,1264.74,1236.78,1251.58,-0.1,-0.01,10252.0,78927.0,26.12,1.82,5722243.0,15918084.400847
801092.SI,20180125,汽车服务,1250.52,1268.03,1242.86,1254.82,3.24,0.26,12645.0,98916.0,26.21,1.82,5737050.0,15934568.492886
801092.SI,20180126,汽车服务,1254.42,1262.86,1243.67,1251.32,-3.5,-0.28,8750.0,79235.0,26.09,1.82,5721033.0,15926490.743762
