l1_code,l2_code,l2_name,ts_code,name,in_date,out_date,is_new
801180.SI,801183.SI,房地产服务,002188.SZ,中天服务,20220729,,Y
801180.SI,801183.SI,房地产服务,300917.SZ,特发服务,20210730,,Y
801180.SI,801183.SI,房地产服务,000056.SZ,皇庭国际,20210730,,Y
801180.SI,801183.SI,房地产服务,603506.SH,南都物业,20210730,,Y
801180.SI,801183.SI,房地产服务,002285.SZ,世联行,20210730,,Y
801180.SI,801183.SI,房地产服务,000560.SZ,我爱我家,20210730,,Y
801180.SI,801183.SI,房地产服务,000502.SZ,绿景退(退市),20210730,,Y
801180.SI,801183.SI,房地产服务,002968.SZ,新大正,20210730,,Y
801180.SI,801183.SI,房地产服务,001914.SZ,招商积余,20210730,,Y
801180.SI,801183.SI,房地产服务,600684.SH,珠江股份,20240301,,Y
801180.SI,801183.SI,房地产服务,600724.SH,宁波富达,20240730,,Y
801180.SI,801183.SI,房地产服务,600136.SH,ST明诚,20250811,,Y
