名称,市场,产业链环节,细分方向,代码,公司产品简介,供应链确定性,市值(亿元),PE(TTM),2026 PE(预测),2027 PE(预测),2028 PE(预测),"2025净利润(实际/预测,亿元)","2026净利润(预测,亿元)","2027净利润(预测,亿元)","2028净利润(预测,亿元)",2025净利润同比%(实际/预测),2026净利润同比%(预测),2027净利润同比%(预测),2028净利润同比%(预测),最新交易日,当日涨幅%,10日涨幅%,30日涨幅%,60日涨幅%,90日涨幅%,250日涨幅%,预测来源,数据状态,备注,2026Q1净利润(亿元),2026Q2净利润(亿元),2026Q3净利润(亿元),2026Q4净利润(亿元),2027Q1净利润(亿元),2027Q2净利润(亿元),2027Q3净利润(亿元),2027Q4净利润(亿元),2028Q1净利润(亿元),2028Q2净利润(亿元),2028Q3净利润(亿元),2028Q4净利润(亿元)
中芯国际,A股,GPU/CPU/NVLink/核心芯片,晶圆制造,688981.SH,先进/成熟制程晶圆制造,主题映射,13225,262.1,202.0,162.8,140.7,50.4,65.5,81.2,94.0,0.363,0.299,0.24,0.158,2026-07-02,-6.7,7.0,7.7,54.6,25.3,75.2,"report_rc中位数(2025:实际,2026:9,2027:9,2028:8)",OK,,13.6（上个Q预测17.6）,13.2,21.4,17.2,21.9,15.1,24.5,19.7,25.3,17.5,28.4,22.8
寒武纪,A股,GPU/CPU/NVLink/核心芯片,AI训练/推理芯片,688256.SH,国产AI芯片核心标的,主题映射,9332,343.5,178.4,93.4,58.4,20.6,52.3,99.9,159.9,-5.552,1.54,0.91,0.601,2026-07-02,-7.6,3.9,0.7,37.3,27.2,139.0,"report_rc中位数(2025:实际,2026:9,2027:9,2028:7)",OK,,10.1（上个Q预测9.0）,16.9,14.0,11.3,17.2,33.1,27.5,22.1,27.6,53.0,44.0,35.3
海光信息,A股,GPU/CPU/NVLink/核心芯片,CPU/GPGPU,688041.SH,国产高性能处理器,主题映射,8133,298.3,184.1,125.1,90.3,25.4,44.2,65.0,90.0,0.318,0.736,0.471,0.385,2026-07-02,-7.9,4.6,1.8,51.3,26.4,141.4,"report_rc中位数(2025:实际,2026:26,2027:26,2028:26)",OK,,6.9（上个Q预测6.9）,12.7,13.9,10.7,12.9,17.8,19.4,14.9,17.9,24.6,26.9,20.6
芯原股份,A股,GPU/CPU/NVLink/核心芯片,芯片IP/设计服务,688521.SH,芯片IP平台与定制设计,主题映射,1799,,1070.9,246.1,148.2,-5.3,1.7,7.3,12.1,-0.122,-1.318,3.351,0.661,2026-07-02,-9.5,20.2,5.0,41.3,30.1,246.1,"report_rc中位数(2025:实际,2026:7,2027:7,2028:7)",OK,,-3.4（上个Q预测0.4）,1.7,1.7,1.7,1.8,1.8,1.8,1.8,3.0,3.0,3.0,3.0
豪威集团,A股,GPU/CPU/NVLink/核心芯片,传感器/模拟,603501.SH,AI终端与智能硬件上游,主题映射,1225,33.3,30.1,23.2,19.6,40.5,40.7,52.8,62.6,0.217,0.007,0.295,0.186,2026-07-02,4.3,12.4,-0.0,10.9,-13.7,-18.7,"report_rc中位数(2025:实际,2026:8,2027:8,2028:8)",OK,,5.0（上个Q预测8.7）,13.0,13.3,9.4,11.3,15.2,15.4,10.9,13.4,18.0,18.3,12.9
龙芯中科,A股,GPU/CPU/NVLink/核心芯片,CPU/IP生态,688047.SH,国产CPU与基础软硬件生态,主题映射,610,,,2347.4,317.1,-4.6,-1.9,0.3,1.9,-0.272,-0.591,-1.14,6.403,2026-07-02,-5.1,0.7,-13.0,12.6,-8.0,19.7,"report_rc中位数(2025:实际,2026:3,2027:3,2028:3)",OK,,-1.1（上个Q预测-0.5）,,,,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5
复旦微电,A股,GPU/CPU/NVLink/核心芯片,芯片设计,688385.SH,安全芯片、FPGA与存储控制,主题映射,578,236.3,74.0,56.1,41.8,2.3,7.8,10.3,13.8,-0.594,2.361,0.319,0.34,2026-07-02,-6.8,10.8,-9.1,4.5,-21.4,41.7,"report_rc中位数(2025:实际,2026:2,2027:2,2028:1)",OK,,1.5（上个Q预测2.2）,2.9,1.2,2.2,2.9,3.4,1.4,2.6,3.9,4.5,1.9,3.5
景嘉微,A股,GPU/CPU/NVLink/核心芯片,GPU/图显,300474.SZ,国产图形处理器,主题映射,309,,884.1,476.1,204.9,-1.6,0.3,0.7,1.5,-0.003,-1.213,0.857,1.323,2026-07-02,-0.7,8.9,-9.8,4.9,-17.9,-13.3,"report_rc中位数(2025:实际,2026:1,2027:1,2028:1)",OK,,-0.6（上个Q预测0.1）,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.4,0.4,0.4,0.4
华虹宏力,港股,GPU/CPU/NVLink/核心芯片,晶圆制造,01347.HK,特色工艺和功率半导体制造,主题映射,,,,,,,,,,,,,,,,,,,,,,港股缺估值/预测,Tushare当前仅填港股行情涨幅；市值、PE、预测待接入港股估值/一致预期源,,,,,,,,,,,,
北方华创,A股,HBM/内存/存储,存储上游设备/刻蚀沉积,002371.SZ,DRAM/NAND产线刻蚀与沉积设备,高相关,6788,121.7,92.9,63.5,49.4,55.2,73.1,106.9,137.4,-0.018,0.324,0.463,0.285,2026-07-02,-10.0,19.5,28.3,92.2,77.2,97.3,"report_rc中位数(2025:实际,2026:11,2027:11,2028:10)",OK,,16.3（上个Q预测20.9）,23.4,27.7,5.6,30.6,31.5,37.2,7.6,39.3,40.5,47.8,9.7
