ts_code,industry_name,trade_date,stage,action,radar_score,trend_score,startup_score,breadth_score,finance_score,overheat_score,weakening_score,ret_20,ret_60,ret_120,rs_20,rs_60,rs_120,rank_improve_20,amount_share,amount_share_ratio,pe,pb,pe_temp,pb_temp,member_count,breadth_coverage,above_20_ratio,above_60_ratio,above_120_ratio,new_high_60_ratio,positive_ret_20_ratio,positive_ret_60_ratio,median_member_ret_20,median_member_ret_60,leader_gap_60,financial_member_count,financial_coverage,sales_positive_ratio,profit_positive_ratio,profit_improve_ratio,cashflow_positive_ratio,median_q_sales_yoy,median_q_netprofit_yoy,status_note,breadth_note,finance_note,confirm_note,refute_note
801033.SI,化学原料,2026-05-21,钝化转弱,收紧风控,35.68528405524168,46.064516129032256,17.81071623838163,22.440677966101696,55.389830508474574,45.29495221027479,65.0,-0.039329524979637265,-0.061137957744025195,0.10989442733482879,-0.05435795385884279,-0.07475842079123973,0.008019230879919625,-0.3548387096774194,0.00666982299580277,0.7073413702032636,32.18,1.84,0.9232804232804233,0.9007936507936508,63,0.9365079365079365,0.2033898305084746,0.22033898305084745,0.288135593220339,0.0,0.2711864406779661,0.2711864406779661,-0.06870229007633588,-0.09369676320272569,0.23409452307997936,63,0.9365079365079365,0.559322033898305,0.5084745762711864,0.6101694915254238,0.5423728813559322,1.6065,3.6092,强势后质量转弱,宽度偏窄,利润同比改善扩散,盘面先动，确认不足,宽度未跟上
801738.SI,电网设备,2026-05-21,钝化转弱,收紧风控,47.38451604940799,76.45430107526882,32.98577819637391,32.832116788321166,51.17391304347826,66.90520993343574,62.70161290322581,-0.01543409572940213,0.01652370189636132,0.246845128849549,-0.030462524608607655,0.002903238849146783,0.14496993239463984,-0.12096774193548387,0.022178741970738994,0.8292488593138033,37.85,3.47,0.921957671957672,0.9312169312169312,145,0.9448275862068966,0.291970802919708,0.31386861313868614,0.48905109489051096,0.014598540145985401,0.34306569343065696,0.3795620437956204,-0.058002936857562304,-0.06433007985803019,0.48640934995525914,145,0.9517241379310345,0.7246376811594203,0.463768115942029,0.5579710144927537,0.26811594202898553,11.1074,-3.5868,强势后质量转弱；短线弱于中期趋势,宽度偏窄；龙头领先过大,现金流质量待验,盘面先动，确认不足,宽度未跟上；龙头独舞风险
801736.SI,风电设备,2026-05-21,钝化转弱,收紧风控,39.673246117084815,63.01344086021505,18.48215053763441,22.733333333333334,47.266666666666666,51.881229732036175,59.2741935483871,-0.06684956733343972,-0.005278181180830233,0.2802010827532868,-0.08187799621264524,-0.01889864422804477,0.17832588629837764,-0.08064516129032262,0.005533165057611301,0.7516554842208802,44.6,2.23,0.7711640211640212,0.8941798941798942,31,0.967741935483871,0.13333333333333333,0.23333333333333334,0.3333333333333333,0.0,0.2,0.3333333333333333,-0.08326530612244898,-0.034185251505779,0.3340743771654158,31,0.967741935483871,0.6666666666666666,0.4666666666666667,0.43333333333333335,0.3,23.43035,-14.2547,强势后质量转弱,宽度偏窄；龙头领先过大,现金流质量待验,盘面先动，确认不足,宽度未跟上；龙头独舞风险
801231.SI,综合Ⅱ,2026-05-21,钝化转弱,收紧风控,38.57252986857826,59.803763440860216,35.68602150537634,11.333333333333334,56.66666666666667,81.15339648404165,55.0,0.007478403808121481,-0.051934476153646214,0.1608612015389168,-0.007550025071084043,-0.06555493920086075,0.05898600508400764,-0.19354838709677424,0.0015997560729884826,1.0745365702328946,140.49,3.1,0.9841269841269841,0.9656084656084656,35,0.42857142857142855,0.0,0.13333333333333333,0.2,0.0,0.13333333333333333,0.13333333333333333,-0.08260233918128645,-0.1400709219858156,0.2074340036783718,35,0.42857142857142855,0.4,0.5333333333333333,0.7333333333333333,0.6,-9.1332,5.642,短期热度偏高；强势后质量转弱,宽度偏窄,利润同比改善扩散,利润覆盖改善,宽度未跟上；财务覆盖不足；短期热度高
801054.SI,小金属,2026-05-21,钝化转弱,收紧风控,41.10388506571087,55.76344086021505,26.283870967741937,24.0,67.38962962962964,64.34498207885305,55.0,-0.056719360665420604,-0.05712775156067984,0.4129385585072498,-0.07174778954462613,-0.07074821460789438,0.31106336205234064,-0.4193548387096775,0.01441036165720791,0.9695072092125169,54.08,5.33,0.8584656084656085,0.9193121693121693,31,0.8709677419354839,0.18518518518518517,0.2222222222222222,0.4444444444444444,0.0,0.25925925925925924,0.2222222222222222,-0.07266926242820199,-0.10217501264542239,0.20523173770728775,31,0.8709677419354839,0.7037037037037037,0.7037037037037037,0.76,0.48148148148148145,12.7857,18.5431,财务景气有支持；强势后质量转弱,宽度偏窄,利润正增长覆盖高；利润同比改善扩散,财务景气支持,宽度未跟上
801141.SI,包装印刷,2026-05-21,钝化转弱,收紧风控,43.487132807137954,61.053763440860216,30.470281400137267,23.31914893617021,64.25531914893617,62.50211213517665,55.0,-0.022289275054956148,-0.03351382865017183,0.17588539166445738,-0.03731770393416167,-0.047134291697386366,0.07401019520954821,-0.14516129032258063,0.0035249446137531437,0.931358785117371,46.04,2.76,0.9828042328042328,0.9576719576719577,48,0.9791666666666666,0.1702127659574468,0.2765957446808511,0.2978723404255319,0.0,0.2978723404255319,0.23404255319148937,-0.056918547595682045,-0.11889491859891466,0.23801487669215698,48,0.9791666666666666,0.7021276595744681,0.5319148936170213,0.7021276595744681,0.6595744680851063,5.2782,2.0569,财务景气有支持；强势后质量转弱,宽度偏窄,利润同比改善扩散,财务景气支持,宽度未跟上
801101.SI,计算机设备,2026-05-21,高位拥挤,持有但不追,58.494333182349315,69.13172043010752,76.95692780337943,31.466666666666665,50.24175824175824,78.35966035159583,19.032258064516128,0.005530931425315133,-0.0018573341127222642,0.012386802286107779,-0.009497497453890391,-0.015477797159936801,-0.08948839416880139,0.4274193548387097,0.015875482466695064,1.2165146941570568,42.85,3.91,0.5978835978835979,0.8571428571428571,95,0.9473684210526315,0.28888888888888886,0.37777777777777777,0.37777777777777777,0.011111111111111112,0.37777777777777777,0.3,-0.04789863882048623,-0.10137795275590544,0.3806756333503063,95,0.9578947368421052,0.6923076923076923,0.4945054945054945,0.4945054945054945,0.2967032967032967,10.5344,-1.3605,60日相对排名改善快；成交关注度升温；短期热度偏高,龙头领先过大,现金流质量待验,盘面排名抬升,宽度未跟上；龙头独舞风险；短期热度高
801051.SI,金属新材料,2026-05-21,高位拥挤,持有但不追,62.721751167133526,80.0725806451613,69.22433179723502,32.34285714285714,66.85882352941177,78.7447516641065,15.64516129032258,0.03504537275796249,-0.01632170178665182,0.14045406409824546,0.020016943878756965,-0.029942164833866358,0.03857886764333629,0.30645161290322587,0.004594832757176543,1.0176919083894718,72.34,4.37,0.9761904761904762,0.9444444444444444,35,1.0,0.34285714285714286,0.4,0.37142857142857144,0.0,0.34285714285714286,0.3142857142857143,-0.01924448058535594,-0.11311168336411254,0.4532074155166755,35,1.0,0.9142857142857143,0.7142857142857143,0.6176470588235294,0.37142857142857144,21.6204,21.5404,60日相对排名改善快；20/60/120日趋势同向；短期热度偏高,龙头领先过大,利润正增长覆盖高；利润同比改善扩散,财务景气支持；盘面排名抬升,宽度未跟上；龙头独舞风险；短期热度高
801737.SI,电池,2026-05-21,高位拥挤,持有但不追,58.24453345731494,77.84946236559138,45.78011245930749,43.57798165137614,66.39046557489496,80.82337002901518,11.572580645161292,-0.012539422593884186,0.11727695102827607,0.07846993063505958,-0.02756785147308971,0.10365648798106153,-0.023405265819849586,-0.040322580645161255,0.03675338840561674,1.0952766432875034,32.32,4.02,0.7632275132275133,0.9417989417989417,112,0.9732142857142857,0.29357798165137616,0.5229357798165137,0.5504587155963303,0.009174311926605505,0.44954128440366975,0.5321100917431193,-0.021477205245898412,0.022910108429520903,0.4327340238007587,112,0.9732142857142857,0.8532110091743119,0.6880733944954128,0.6261682242990654,0.44954128440366975,34.8548,47.2524,短期热度偏高；财务景气有支持；短线弱于中期趋势,龙头领先过大,利润正增长覆盖高；利润同比改善扩散,财务景气支持,龙头独舞风险；短期热度高
801733.SI,其他电源设备Ⅱ,2026-05-21,高位拥挤,持有但不追,58.192981481481475,82.3010752688172,42.45935483870968,45.199999999999996,56.86666666666666,80.30143795869603,7.903225806451614,0.011725697054485673,0.06061932307883078,0.28067587667774596,-0.003302731824719851,0.04699886003161624,0.1788006802228368,-0.040322580645161255,0.00816558230937964,0.9590794592794937,72.25,3.92,0.9537037037037037,0.9603174603174603,33,0.9090909090909091,0.36666666666666664,0.5333333333333333,0.6333333333333333,0.0,0.5,0.43333333333333335,-0.0005258883092659206,-0.03274725631534514,0.4892583219068116,33,0.9090909090909091,0.7,0.7,0.4,0.43333333333333335,17.415,15.388649999999998,短期热度偏高；短线弱于中期趋势,龙头领先过大,利润正增长覆盖高,宽度开始跟；利润覆盖改善,龙头独舞风险；短期热度高
