model,threshold,signals,signal_rate,hit_rate,avg_future_mean_return
price_only,0.35,613,0.6142284569138277,0.3556280587275693,0.033787037689991
price_only,0.45,306,0.3066132264529058,0.4477124183006536,0.01659015468890961
price_only,0.55,101,0.10120240480961924,0.4158415841584158,0.0016584957458748977
price_only,0.65,0,0.0,,
price_only_rolling756,0.35,277,0.2775551102204409,0.3176895306859206,-0.008027716378743334
price_only_rolling756,0.45,164,0.16432865731462926,0.24390243902439024,-0.024371862196141063
price_only_rolling756,0.55,117,0.11723446893787576,0.23076923076923078,-0.04177259500692759
price_only_rolling756,0.65,69,0.06913827655310621,0.36231884057971014,-0.012838864367736817
price_plus_market_regime,0.35,580,0.5811623246492986,0.35517241379310344,0.03192486603294344
price_plus_market_regime,0.45,320,0.32064128256513025,0.409375,0.014508118495416836
price_plus_market_regime,0.55,164,0.16432865731462926,0.45121951219512196,0.013524432711725876
price_plus_market_regime,0.65,9,0.009018036072144289,0.5555555555555556,0.07431738759097366
price_plus_market_regime_rolling756,0.35,278,0.2785571142284569,0.3345323741007194,0.00408174315012837
price_plus_market_regime_rolling756,0.45,164,0.16432865731462926,0.25,-0.023032117449619607
price_plus_market_regime_rolling756,0.55,134,0.1342685370741483,0.23134328358208955,-0.0327172821070295
price_plus_market_regime_rolling756,0.65,96,0.09619238476953908,0.2708333333333333,-0.04086507240624693
price_regime_cross_breadth,0.35,607,0.6082164328657315,0.34761120263591433,0.026325933655143678
price_regime_cross_breadth,0.45,312,0.312625250501002,0.4166666666666667,0.01442130794659811
price_regime_cross_breadth,0.55,162,0.1623246492985972,0.4012345679012346,0.007961277625842408
price_regime_cross_breadth,0.65,11,0.011022044088176353,0.36363636363636365,0.044613195343387306
price_regime_cross_breadth_rolling756,0.35,278,0.2785571142284569,0.34532374100719426,0.005029529768928749
price_regime_cross_breadth_rolling756,0.45,158,0.15831663326653306,0.2721518987341772,-0.016844938382162066
price_regime_cross_breadth_rolling756,0.55,121,0.12124248496993988,0.23140495867768596,-0.03786871417094273
price_regime_cross_breadth_rolling756,0.65,88,0.08817635270541083,0.29545454545454547,-0.03230088496494856
state_bucket_price,0.35,603,0.6042084168336673,0.30514096185737977,0.009675221581055023
state_bucket_price,0.45,369,0.3697394789579158,0.3089430894308943,-0.0026324958872679586
state_bucket_price,0.55,165,0.1653306613226453,0.2727272727272727,-0.028900543662341162
state_bucket_price,0.65,8,0.008016032064128256,0.125,0.03362413786120527
