model,prob_bin,samples,predicted_probability,realized_rate,avg_future_mean_return
price_only,0-10%,0,,,
price_only,10-20%,0,,,
price_only,20-35%,22,0.32806794035113845,1.0,0.6611153729270903
price_only,35-50%,375,0.4330607089066025,0.4613333333333333,0.12944272407865107
price_only,50-65%,379,0.5610092142783147,0.20844327176781002,0.020201225015600704
price_only,65-80%,162,0.7235957246956879,0.06172839506172839,-0.0460342401081755
price_only,80-100%,0,,,
price_only_rolling756,0-10%,0,,,
price_only_rolling756,10-20%,366,0.17002036148118568,0.4016393442622951,0.14486705918359294
price_only_rolling756,20-35%,332,0.24615160523019983,0.3674698795180723,0.07549695540103048
price_only_rolling756,35-50%,53,0.4252919107164462,0.18867924528301888,0.03288193753433205
price_only_rolling756,50-65%,32,0.5987143902601558,0.15625,-0.011030765786093206
price_only_rolling756,65-80%,147,0.7480636522167377,0.0,-0.11027169177599201
price_only_rolling756,80-100%,8,0.8099503203322885,0.0,0.0022655962309309774
price_plus_market_regime,0-10%,0,,,
price_plus_market_regime,10-20%,0,,,
price_plus_market_regime,20-35%,30,0.317919410632698,1.0,0.6557648899135722
price_plus_market_regime,35-50%,463,0.4244868338393129,0.32181425485961124,0.05778023920583258
price_plus_market_regime,50-65%,230,0.5551529173697524,0.33043478260869563,0.08739052828359976
price_plus_market_regime,65-80%,159,0.7179253776774113,0.13836477987421383,-0.0352814292533561
price_plus_market_regime,80-100%,56,0.8556901190089536,0.125,0.04230366810047142
price_plus_market_regime_rolling756,0-10%,7,0.09401367858025313,0.0,-0.04964268131846829
price_plus_market_regime_rolling756,10-20%,398,0.16427545632262217,0.45979899497487436,0.16241708426329726
price_plus_market_regime_rolling756,20-35%,301,0.2581564695582189,0.2691029900332226,0.038249168412516354
price_plus_market_regime_rolling756,35-50%,42,0.42357607387973806,0.3333333333333333,0.08932001953433119
price_plus_market_regime_rolling756,50-65%,21,0.5766476401301824,0.2857142857142857,0.034874028566337624
price_plus_market_regime_rolling756,65-80%,120,0.7417267571169764,0.0,-0.11574411717822627
price_plus_market_regime_rolling756,80-100%,49,0.8528194688707658,0.0,-0.06362703472244734
price_regime_cross_breadth,0-10%,0,,,
price_regime_cross_breadth,10-20%,0,,,
price_regime_cross_breadth,20-35%,52,0.3232589819756716,0.6730769230769231,0.37094517575857294
price_regime_cross_breadth,35-50%,435,0.43444060554365843,0.3632183908045977,0.07784138506335507
price_regime_cross_breadth,50-65%,227,0.5502462743582166,0.2643171806167401,0.05662819028481231
price_regime_cross_breadth,65-80%,165,0.7285319433232953,0.1393939393939394,-0.0332341166369905
price_regime_cross_breadth,80-100%,59,0.8499523856005904,0.13559322033898305,0.04683314450379947
price_regime_cross_breadth_rolling756,0-10%,21,0.09426107881609323,0.47619047619047616,0.18517680552657353
price_regime_cross_breadth_rolling756,10-20%,331,0.16015027352442365,0.49244712990936557,0.1883442680953275
price_regime_cross_breadth_rolling756,20-35%,360,0.2477022725171286,0.23055555555555557,0.019390501319904805
price_regime_cross_breadth_rolling756,35-50%,46,0.40132332871849313,0.5869565217391305,0.1604988003396982
price_regime_cross_breadth_rolling756,50-65%,22,0.5573307046527541,0.045454545454545456,-0.02160036625099815
price_regime_cross_breadth_rolling756,65-80%,111,0.7477293786278717,0.0,-0.12451324270022801
price_regime_cross_breadth_rolling756,80-100%,47,0.8587310023192505,0.0,-0.06412203897612018
