model,samples,event_rate,mean_probability,brier,log_loss,roc_auc,target_id,target_kind,horizon_start,horizon_end,threshold,walk_forward_event_rate,prediction_rows
price_only,998,0.3116232464929859,0.3986071205579838,0.2194137171612137,0.6305050963437699,0.5899455669601277,absolute_21_60_05pct,absolute,21,60,0.05,0.3116232464929859,5988
expanding_rate_baseline,998,0.3116232464929859,0.4128440820252386,0.2394550772879004,0.6721955013691442,0.3014949194269319,absolute_21_60_05pct,absolute,21,60,0.05,0.3116232464929859,5988
rolling_504_rate_baseline,998,0.3116232464929859,0.2892053949168177,0.2417552413973828,0.6878187661691854,0.4423281240492939,absolute_21_60_05pct,absolute,21,60,0.05,0.3116232464929859,5988
price_only_rolling756,998,0.3116232464929859,0.3115222625300292,0.2498168173392109,0.709568325641629,0.4528379599077025,absolute_21_60_05pct,absolute,21,60,0.05,0.3116232464929859,5988
price_plus_market_regime,998,0.3116232464929859,0.4011462452309939,0.2248166193318723,0.6436836268701037,0.5663001914283173,absolute_21_60_05pct,absolute,21,60,0.05,0.3116232464929859,5988
price_plus_market_regime_rolling756,998,0.3116232464929859,0.314494082241515,0.2570017220250187,0.7343993184918699,0.464758936051709,absolute_21_60_05pct,absolute,21,60,0.05,0.3116232464929859,5988
price_regime_cross_breadth,998,0.3116232464929859,0.4020367728543167,0.22825727120595,0.6521685718644128,0.546291485886257,absolute_21_60_05pct,absolute,21,60,0.05,0.3116232464929859,5988
price_regime_cross_breadth_rolling756,998,0.3116232464929859,0.3080507813928231,0.2550892386022353,0.7390079369554572,0.4809718380394744,absolute_21_60_05pct,absolute,21,60,0.05,0.3116232464929859,5988
price_only,968,0.3295454545454545,0.4498676513397281,0.2614930478500714,0.7189886647214282,0.401963957088552,absolute_61_90_08pct,absolute,61,90,0.08,0.3295454545454545,5808
expanding_rate_baseline,968,0.3295454545454545,0.4367596519814442,0.2647300498680644,0.7236224899891492,0.2138496167240654,absolute_61_90_08pct,absolute,61,90,0.08,0.3295454545454545,5808
rolling_504_rate_baseline,968,0.3295454545454545,0.2383739997376361,0.2668013428971221,0.7830967182960308,0.4631359554849273,absolute_61_90_08pct,absolute,61,90,0.08,0.3295454545454545,5808
price_only_rolling756,968,0.3295454545454545,0.2963154209828534,0.2952514143281338,0.830004758153262,0.3658824040844124,absolute_61_90_08pct,absolute,61,90,0.08,0.3295454545454545,5808
