model,prob_bin,samples,predicted_probability,realized_rate,avg_future_mean_return
price_only,0-10%,0,,,
price_only,10-20%,26,0.1648500095902847,0.3076923076923077,0.029230366080021126
price_only,20-35%,514,0.29377568933785725,0.24708171206225682,0.008475712565580135
price_only,35-50%,387,0.4192694089589784,0.29198966408268734,0.05045797263088489
price_only,50-65%,71,0.543237004040752,0.22535211267605634,-0.02650140749589941
price_only,65-80%,0,,,
price_only,80-100%,0,,,
price_only_rolling756,0-10%,10,0.0876642225734601,0.2,-0.008764019920406929
price_only_rolling756,10-20%,399,0.1693204276668564,0.3258145363408521,0.014374940541596309
price_only_rolling756,20-35%,403,0.24682947223755,0.31265508684863524,0.06563899467152669
price_only_rolling756,35-50%,77,0.39933679790321297,0.07792207792207792,-0.05739797815221291
price_only_rolling756,50-65%,89,0.5739911645143259,0.0,-0.07526773403970916
price_only_rolling756,65-80%,20,0.679992691512419,0.0,0.08900689852343659
price_only_rolling756,80-100%,0,,,
price_plus_market_regime,0-10%,0,,,
price_plus_market_regime,10-20%,35,0.146990377113369,0.22857142857142856,0.011581239856550199
price_plus_market_regime,20-35%,549,0.29593165739395977,0.2768670309653916,0.023938790120192174
price_plus_market_regime,35-50%,271,0.41782095212808956,0.24354243542435425,0.032919463592118454
price_plus_market_regime,50-65%,127,0.5440270904239547,0.2283464566929134,-0.005984089721882522
price_plus_market_regime,65-80%,16,0.7019022404247361,0.5625,0.06582542768640955
price_plus_market_regime,80-100%,0,,,
price_plus_market_regime_rolling756,0-10%,0,,,
price_plus_market_regime_rolling756,10-20%,413,0.1714146928677969,0.29055690072639223,0.03050208669756152
price_plus_market_regime_rolling756,20-35%,417,0.25347932623526936,0.3333333333333333,0.040596630349876296
price_plus_market_regime_rolling756,35-50%,56,0.40020891152709803,0.08928571428571429,-0.030086510290246244
price_plus_market_regime_rolling756,50-65%,72,0.5836149323315507,0.0,-0.10918249529541434
price_plus_market_regime_rolling756,65-80%,38,0.719226498345969,0.0,0.061998171405069386
price_plus_market_regime_rolling756,80-100%,2,0.8326268057890116,0.0,0.2130191574359982
price_regime_cross_breadth,0-10%,0,,,
price_regime_cross_breadth,10-20%,31,0.14672724529628592,0.22580645161290322,0.011326203402135459
price_regime_cross_breadth,20-35%,525,0.28967432523572195,0.259047619047619,0.012007129959190632
price_regime_cross_breadth,35-50%,290,0.4088674530863301,0.25517241379310346,0.04185636053710046
price_regime_cross_breadth,50-65%,130,0.5395113675472287,0.2923076923076923,0.024205212950860904
price_regime_cross_breadth,65-80%,22,0.6784173363345102,0.4090909090909091,0.03737561269636381
price_regime_cross_breadth,80-100%,0,,,
price_regime_cross_breadth_rolling756,0-10%,4,0.09207340217284186,0.25,-0.009454108744790801
price_regime_cross_breadth_rolling756,10-20%,461,0.16006836733040639,0.2646420824295011,0.025615988982831774
price_regime_cross_breadth_rolling756,20-35%,366,0.2563177588093545,0.36885245901639346,0.04150689849564819
price_regime_cross_breadth_rolling756,35-50%,67,0.39512792032226574,0.08955223880597014,0.014073137087800414
price_regime_cross_breadth_rolling756,50-65%,61,0.5727556067569389,0.0,-0.13014559056283745
price_regime_cross_breadth_rolling756,65-80%,37,0.7100521032803921,0.0,0.0640379578864128
price_regime_cross_breadth_rolling756,80-100%,2,0.8233302317082555,0.0,0.2130191574359982
