model,threshold,signals,signal_rate,hit_rate,avg_future_mean_return
price_only,0.35,826,0.8805970149253731,0.211864406779661,0.037256114437621085
price_only,0.45,518,0.5522388059701493,0.15057915057915058,0.005544003748744383
price_only,0.55,154,0.16417910447761194,0.03896103896103896,-0.09005557771051427
price_only,0.65,38,0.04051172707889126,0.0,-0.14873210529881098
price_only_rolling756,0.35,281,0.2995735607675906,0.0,-0.06521169761915721
price_only_rolling756,0.45,221,0.23560767590618337,0.0,-0.0658740388855671
price_only_rolling756,0.55,183,0.19509594882729211,0.0,-0.09185710877991145
price_only_rolling756,0.65,95,0.10127931769722814,0.0,-0.1101265803051468
price_plus_market_regime,0.35,804,0.8571428571428571,0.2027363184079602,0.03390086469056456
price_plus_market_regime,0.45,481,0.5127931769722814,0.19126819126819128,0.03142737488678091
price_plus_market_regime,0.55,196,0.208955223880597,0.08673469387755102,-0.036726967847683034
price_plus_market_regime,0.65,48,0.0511727078891258,0.020833333333333332,-0.1193173998486511
price_plus_market_regime_rolling756,0.35,289,0.30810234541577824,0.01730103806228374,-0.05892141569095071
price_plus_market_regime_rolling756,0.45,221,0.23560767590618337,0.0,-0.0658740388855671
price_plus_market_regime_rolling756,0.55,185,0.19722814498933902,0.0,-0.09212404428457213
price_plus_market_regime_rolling756,0.65,106,0.11300639658848614,0.0,-0.10913040267479451
price_regime_cross_breadth,0.35,783,0.8347547974413646,0.20434227330779056,0.034558857510299905
price_regime_cross_breadth,0.45,518,0.5522388059701493,0.1138996138996139,-0.014428809193596627
price_regime_cross_breadth,0.55,212,0.2260127931769723,0.1179245283018868,-0.03131507670913497
price_regime_cross_breadth,0.65,41,0.04371002132196162,0.024390243902439025,-0.12698953548149683
price_regime_cross_breadth_rolling756,0.35,247,0.26332622601279315,0.044534412955465584,-0.039580876052056034
price_regime_cross_breadth_rolling756,0.45,205,0.21855010660980811,0.00975609756097561,-0.07345630303108819
price_regime_cross_breadth_rolling756,0.55,183,0.19509594882729211,0.0,-0.09388303049047422
price_regime_cross_breadth_rolling756,0.65,93,0.09914712153518124,0.0,-0.12839888725420276
