ts_code,industry_name,trade_date,stage,action,radar_score,status_note,stage_5d_ago,stage_20d_ago,migration
801086.SI,电子化学品Ⅱ,2026-05-21,高位拥挤,持有但不追,76.68574005803038,成交关注度升温；20/60/120日趋势同向；短期热度偏高,高位拥挤,高位拥挤,高位拥挤 -> 高位拥挤
801081.SI,半导体,2026-05-21,高位拥挤,持有但不追,76.14249128794782,60日相对排名改善快；成交关注度升温；20/60/120日趋势同向,高位拥挤,高位拥挤,高位拥挤 -> 高位拥挤
801731.SI,电机Ⅱ,2026-05-21,高位拥挤,持有但不追,72.32651775046936,60日相对排名改善快；成交关注度升温；20/60/120日趋势同向,早期启动,潜伏观察,潜伏观察 -> 高位拥挤
801083.SI,元件,2026-05-21,高位拥挤,持有但不追,71.55434203789042,成交关注度升温；20/60/120日趋势同向；短期热度偏高,高位拥挤,高位拥挤,高位拥挤 -> 高位拥挤
801082.SI,其他电子Ⅱ,2026-05-21,高位拥挤,持有但不追,71.54203470277,60日相对排名改善快；成交关注度升温；20/60/120日趋势同向,高位拥挤,高位拥挤,高位拥挤 -> 高位拥挤
801116.SI,家电零部件Ⅱ,2026-05-21,高位拥挤,持有但不追,70.38514080901177,60日相对排名改善快；成交关注度升温；20/60/120日趋势同向,高位拥挤,潜伏观察,潜伏观察 -> 高位拥挤
801078.SI,自动化设备,2026-05-21,高位拥挤,持有但不追,69.58751243297962,20/60/120日趋势同向；短期热度偏高,高位拥挤,高位拥挤,高位拥挤 -> 高位拥挤
801084.SI,光学光电子,2026-05-21,高位拥挤,持有但不追,68.7986465972374,20/60/120日趋势同向；短期热度偏高,高位拥挤,主升扩散,主升扩散 -> 高位拥挤
801085.SI,消费电子,2026-05-21,高位拥挤,持有但不追,67.65382185914444,60日相对排名改善快；成交关注度升温；20/60/120日趋势同向,高位拥挤,高位拥挤,高位拥挤 -> 高位拥挤
801036.SI,塑料,2026-05-21,高位拥挤,持有但不追,65.63646134928393,20/60/120日趋势同向；短期热度偏高,高位拥挤,高位拥挤,高位拥挤 -> 高位拥挤
801072.SI,通用设备,2026-05-21,高位拥挤,持有但不追,65.52445525873054,20/60/120日趋势同向；短期热度偏高,趋势确认,趋势确认,趋势确认 -> 高位拥挤
801102.SI,通信设备,2026-05-21,高位拥挤,持有但不追,64.71635711958294,20/60/120日趋势同向；短期热度偏高,高位拥挤,高位拥挤,高位拥挤 -> 高位拥挤
801111.SI,白色家电,2026-05-21,趋势确认,继续跟踪核心,64.44114968424645,60日相对排名改善快；20/60/120日趋势同向,早期启动,潜伏观察,潜伏观察 -> 趋势确认
801972.SI,环保设备Ⅱ,2026-05-21,高位拥挤,持有但不追,63.4081046253627,成交关注度升温；20/60/120日趋势同向；短期热度偏高,高位拥挤,高位拥挤,高位拥挤 -> 高位拥挤
801051.SI,金属新材料,2026-05-21,高位拥挤,持有但不追,62.721751167133526,60日相对排名改善快；20/60/120日趋势同向；短期热度偏高,潜伏观察,潜伏观察,潜伏观察 -> 高位拥挤
801712.SI,玻璃玻纤,2026-05-21,高位拥挤,持有但不追,62.19763888888889,20/60/120日趋势同向；短期热度偏高,高位拥挤,高位拥挤,高位拥挤 -> 高位拥挤
801039.SI,非金属材料Ⅱ,2026-05-21,高位拥挤,持有但不追,61.612897252090804,20/60/120日趋势同向；短期热度偏高,高位拥挤,高位拥挤,高位拥挤 -> 高位拥挤
801223.SI,通信服务,2026-05-21,高位拥挤,持有但不追,60.77488830464637,60日相对排名改善快；短期热度偏高；短线弱于中期趋势,趋势确认,潜伏观察,潜伏观察 -> 高位拥挤
801093.SI,汽车零部件,2026-05-21,潜伏观察,观察验证,60.702322113527536,60日相对排名改善快；20/60/120日趋势同向,潜伏观察,潜伏观察,潜伏观察 -> 潜伏观察
801112.SI,黑色家电,2026-05-21,潜伏观察,观察验证,59.846380952380954,60日相对排名改善快,趋势确认,潜伏观察,潜伏观察 -> 潜伏观察
801161.SI,电力,2026-05-21,趋势确认,继续跟踪核心,58.90793304418542,等待更多共振证据,趋势确认,趋势确认,趋势确认 -> 趋势确认
801722.SI,装修装饰Ⅱ,2026-05-21,高位拥挤,持有但不追,58.705516441379,成交关注度升温；短期热度偏高,高位拥挤,趋势确认,趋势确认 -> 高位拥挤
801113.SI,小家电,2026-05-21,潜伏观察,观察验证,58.704334047075974,60日相对排名改善快；成交关注度升温,潜伏观察,潜伏观察,潜伏观察 -> 潜伏观察
801101.SI,计算机设备,2026-05-21,高位拥挤,持有但不追,58.494333182349315,60日相对排名改善快；成交关注度升温；短期热度偏高,高位拥挤,潜伏观察,潜伏观察 -> 高位拥挤
801737.SI,电池,2026-05-21,高位拥挤,持有但不追,58.24453345731494,短期热度偏高；财务景气有支持；短线弱于中期趋势,高位拥挤,高位拥挤,高位拥挤 -> 高位拥挤
801733.SI,其他电源设备Ⅱ,2026-05-21,高位拥挤,持有但不追,58.192981481481475,短期热度偏高；短线弱于中期趋势,高位拥挤,高位拥挤,高位拥挤 -> 高位拥挤
801744.SI,航海装备Ⅱ,2026-05-21,潜伏观察,观察验证,57.90877794845537,60日相对排名改善快；财务景气有支持,潜伏观察,潜伏观察,潜伏观察 -> 潜伏观察
801992.SI,航运港口,2026-05-21,潜伏观察,观察验证,56.17342891278375,20/60/120日趋势同向；财务景气有支持；短线弱于中期趋势,潜伏观察,潜伏观察,潜伏观察 -> 潜伏观察
801132.SI,服装家纺,2026-05-21,潜伏观察,观察验证,55.31110206519884,财务景气有支持,潜伏观察,潜伏观察,潜伏观察 -> 潜伏观察
801074.SI,专用设备,2026-05-21,潜伏观察,观察验证,53.83598609569437,短线弱于中期趋势,潜伏观察,潜伏观察,潜伏观察 -> 潜伏观察
801115.SI,照明设备Ⅱ,2026-05-21,潜伏观察,观察验证,53.65687958696023,短线弱于中期趋势,潜伏观察,高位拥挤,高位拥挤 -> 潜伏观察
