indicator,future_horizon,samples,pearson_corr,spearman_corr
main_net_pct_20d,5,2019,0.0616265100082161,0.05676053173700201
turnover_rate_f,5,2028,0.025778867092018955,0.04663644023969519
amount_ratio_20_60,5,1999,0.046376238842363325,0.04121174678791298
main_net_20d,5,2019,-0.00041674589678785816,0.03560039083760632
main_net_pct_amount,5,2028,0.03472865456961454,0.023992981949603517
main_net_pct_5d,5,2026,0.02565040205097843,0.011728315648334955
net_mf_20d,5,2019,0.02815668090235036,0.010138990625849975
mfi_14,5,2021,0.0217701791889244,0.00025167261582681726
financing_balance_pct_mv,5,1476,-0.036564538252971464,0.00021971548967500936
financing_net_buy_5d,5,1474,-0.08404047829930947,-0.0521343867932763
cmf_20,5,2019,-0.07276676462472154,-0.06976045932659145
financing_net_buy_20d,5,1467,-0.10253175346409578,-0.07179457311888839
financing_balance_chg_20d,5,1466,-0.10336276978437484,-0.07259250752543944
main_net_pct_20d,10,2014,0.09489436103013951,0.10426996716281067
turnover_rate_f,10,2023,0.0716399399705288,0.09336067108546954
main_net_pct_5d,10,2021,0.0714765565742381,0.07875318686164301
main_net_20d,10,2014,0.044353931557260765,0.07251275301105498
amount_ratio_20_60,10,1994,0.060974881369739276,0.04955458729011507
main_net_pct_amount,10,2023,0.045845230089180525,0.04272157663038228
mfi_14,10,2016,0.061487217685298065,0.04237946762726855
net_mf_20d,10,2014,0.0608672012743424,0.03244020415746574
financing_balance_pct_mv,10,1471,-0.04680983792967842,-0.013197885091871942
financing_net_buy_5d,10,1469,-0.06086575575883197,-0.03649038767253476
cmf_20,10,2014,-0.07573167012601563,-0.07827440220462659
financing_net_buy_20d,10,1462,-0.11959966610216773,-0.10983423020048108
financing_balance_chg_20d,10,1461,-0.12228977861020718,-0.11148794772090741
main_net_pct_20d,20,2004,0.13295365779458979,0.14822525844113732
main_net_20d,20,2004,0.09728134385517058,0.11207259362298755
main_net_pct_5d,20,2011,0.07356073948599152,0.09527562017457164
turnover_rate_f,20,2013,0.06659060546624228,0.09138361437918809
main_net_pct_amount,20,2013,0.055299103357447504,0.061132207987168265
net_mf_20d,20,2004,0.09374614761173809,0.060117096049839364
mfi_14,20,2006,0.053881293296270664,0.0442178812291309
amount_ratio_20_60,20,1984,0.05093764650333246,0.014137517816400526
financing_balance_pct_mv,20,1461,-0.03429558339750582,-0.01799937646080192
financing_net_buy_20d,20,1452,-0.11491301732659034,-0.12021392074839433
financing_net_buy_5d,20,1459,-0.09047791206164392,-0.12048144226754733
financing_balance_chg_20d,20,1451,-0.11748457194007964,-0.12132385873422155
cmf_20,20,2004,-0.12907005230985621,-0.13825445744515447
main_net_pct_20d,60,1964,0.08408367204984972,0.10407379511339965
turnover_rate_f,60,1973,0.034005372662550944,0.06331557121434783
main_net_pct_5d,60,1971,0.0663643014532649,0.059116636676022426
main_net_20d,60,1964,0.02138262641791189,0.039295835736820384
main_net_pct_amount,60,1973,0.042332920059131376,0.03495080855519743
mfi_14,60,1966,0.042685569528315856,0.028373317912480007
net_mf_20d,60,1964,-0.013581173718237074,0.018079588451015722
financing_balance_pct_mv,60,1421,0.07095700695795512,-0.011433089030882887
amount_ratio_20_60,60,1944,-0.06100949573513855,-0.05217219395376717
cmf_20,60,1964,-0.13746090094940777,-0.13542121698471996
financing_net_buy_5d,60,1419,-0.12006674236135267,-0.13762907419043105
financing_net_buy_20d,60,1412,-0.14796175739708445,-0.13804890642037454
financing_balance_chg_20d,60,1411,-0.14991821161093155,-0.13892851635266854
