ts_code,trade_date,open,high,low,close,pct_chg,vol,amount,amount_wan,return_1d,amount_ma20,amount_ratio_20_60,turnover_rate,turnover_rate_f,volume_ratio,pe_ttm,pb,circ_mv,float_share,free_share,buy_lg_amount,sell_lg_amount,buy_elg_amount,sell_elg_amount,net_mf_amount,large_net_amount,elg_net_amount,main_net_amount,main_net_pct_amount,net_mf_pct_amount,main_net_5d,main_net_pct_5d,net_mf_5d,main_net_10d,main_net_pct_10d,net_mf_10d,main_net_20d,main_net_pct_20d,net_mf_20d,main_net_60d,main_net_pct_60d,net_mf_60d,rzye,rzmre,rzche,rqye,rzrqye,financing_net_buy,financing_balance_chg,financing_balance_pct_mv,financing_net_buy_5d,financing_balance_chg_5d,financing_net_buy_20d,financing_balance_chg_20d,financing_net_buy_60d,financing_balance_chg_60d,obv,cmf_20,mfi_14,future_ret_5d,future_ret_10d,future_ret_20d,future_ret_60d,main_net_pct_amount_rank_252,main_net_pct_20d_rank_252,financing_net_buy_20d_rank_252,financing_balance_pct_mv_rank_252,amount_ratio_20_60_rank_252,turnover_rate_f_rank_252,cmf_20_rank_252,mfi_14_rank_252
002463.SZ,2018-01-02,5.3,5.36,5.29,5.32,-0.19,193063.15,102677.226,10267.7226,,,,1.1537,1.7617,0.52,39.1166,2.5867,890286.1054,167347.0123,109590.452,2991.86,3296.42,654.87,1537.88,-1804.06,-304.55999999999995,-883.0100000000001,-1187.5700000000002,-0.11566050683917,-0.17570205879929013,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,-0.03195488721804507,-0.1071428571428572,-0.12406015037593987,-0.18609022556390975,,,,,,,,
002463.SZ,2018-01-03,5.32,5.34,5.21,5.33,0.19,329591.16,173921.84,17392.184,0.001879699248120259,,,1.9695,3.0075,0.97,39.1902,2.5916,891959.5756,167347.0123,109590.452,4784.63,5165.05,1551.6,3268.9,-1872.07,-380.4200000000001,-1717.3000000000002,-2097.7200000000003,-0.12061279940460612,-0.10763858064059119,,,,,,,,,,,,,,,,,,,,,,,,,,,329591.16,,,-0.03001876172607887,-0.10881801125703561,-0.17260787992495308,-0.20637898686679168,,,,,,,,
002463.SZ,2018-01-04,5.31,5.41,5.27,5.35,0.38,290230.9,154927.76,15492.776000000002,0.0037523452157597337,,,1.7343,2.6483,0.95,39.3372,2.6013,895306.5158,167347.0123,109590.452,5094.41,5444.84,1744.21,2061.39,-698.54,-350.4300000000003,-317.17999999999984,-667.6100000000001,-0.043091696413864115,-0.04508811074271001,-3952.9000000000005,-0.09312166755254675,-4374.67,,,,,,,,,,,,,,,,,,,,,,,,619822.06,,,-0.03925233644859816,-0.11214953271028028,-0.20186915887850465,-0.22429906542056066,,,,,,,,
002463.SZ,2018-01-05,5.36,5.41,5.28,5.28,-1.31,267533.11,142472.474,14247.247399999998,-0.013084112149532645,,,1.5987,2.4412,1.05,38.8225,2.5672,883592.2249,167347.0123,109590.452,3861.62,5477.63,1616.42,2117.16,-1930.58,-1616.0100000000002,-500.7399999999998,-2116.75,-0.14857255865438262,-0.13550547314844832,-6069.650000000001,-0.10698439032800572,-6305.25,,,,,,,,,,,,,,,,,,,,,,,,352288.95000000007,,,-0.037878787878787956,-0.10416666666666663,-0.18371212121212133,-0.21212121212121215,,,,,,,,
002463.SZ,2018-01-08,5.3,5.3,5.07,5.14,-2.65,364597.88,187479.987,18747.9987,-0.026515151515151603,,,2.1787,3.3269,1.42,37.7931,2.4992,860163.6432,167347.0123,109590.452,3998.54,5619.66,947.17,2900.33,-5078.75,-1621.12,-1953.1599999999999,-3574.2799999999997,-0.19064861573731598,-0.27089558097739785,-9643.93,-0.12371723540986776,-11384.0,-9643.93,-0.12371723540986776,-11384.0,,,,,,,,,,,,,,,,,,,,,-12308.929999999935,,,-0.046692607003890885,-0.05447470817120614,-0.1712062256809338,-0.1848249027237353,,,,,,,,
002463.SZ,2018-01-09,5.12,5.2,5.1,5.15,0.19,229267.43,117913.953,11791.3953,0.001945525291829009,,,1.37,2.092,0.79,37.8667,2.504,861837.1133,167347.0123,109590.452,3582.98,4193.9,1429.19,1642.4,-444.46,-610.9199999999996,-213.21000000000004,-824.1299999999997,-0.06989249185802461,-0.03769358830672058,-9280.49,-0.11456363241363869,-10024.4,-10468.06,-0.11474644481789391,-11828.46,,,,,,,,,,,,,,,,,,,,,216958.50000000006,,,-0.07766990291262144,-0.062135922330097126,-0.20776699029126222,-0.18252427184466025,,,,,,,,
002463.SZ,2018-01-10,5.13,5.19,5.06,5.17,0.39,248682.03,127236.685,12723.6685,0.003883495145631022,,,1.486,2.2692,0.84,38.0137,2.5138,865184.0536,167347.0123,109590.452,3794.25,3138.57,996.74,1881.38,-758.09,655.6799999999998,-884.6400000000001,-228.96000000000026,-0.01799481022316797,-0.05958108701118707,-7411.73,-0.09404003457735106,-8910.42,-10697.02,-0.10092478273293305,-12586.55,,,,,,,,,,,,,,,,,,,,,465640.53,,,-0.0812379110251451,-0.06576402321083175,-0.20502901353965175,-0.1876208897485493,,,,,,,,
002463.SZ,2018-01-11,5.15,5.18,5.08,5.14,-0.58,154268.0,79169.745,7916.974499999999,-0.005802707930367523,,,0.9218,1.4077,0.55,37.7931,2.4992,860163.6432,167347.0123,109590.452,2468.77,2669.55,512.25,490.5,-981.16,-200.7800000000002,21.75,-179.0300000000002,-0.02261343648384875,-0.12393118103386591,-6923.15,-0.08994438259134799,-9193.04,-10876.050000000001,-0.09113586445179751,-13567.71,,,,,,,,,,,,,,,,,,,,,311372.53,,15.735480872894158,-0.07587548638132291,-0.06614785992217898,-0.1867704280155642,-0.19649805447470814,,,,,,,,
002463.SZ,2018-01-12,5.15,5.17,5.08,5.08,-1.17,133839.89,68553.799,6855.3799,-0.011673151750972721,,,0.7998,1.2213,0.53,37.352,2.47,850122.8225,167347.0123,109590.452,1062.55,2356.11,911.0,681.86,-2376.62,-1293.5600000000002,229.14,-1064.42,-0.15526783570375147,-0.34667954725601713,-5870.82,-0.09128343800122177,-9639.08,-11940.470000000001,-0.09826163903534796,-15944.33,,,,,,,,,,,,,,,,,,,,,177532.64,,14.714371437672696,-0.06889763779527547,-0.06102362204724421,-0.17322834645669294,-0.18110236220472442,,,,,,,,
002463.SZ,2018-01-15,5.06,5.07,4.89,4.9,-3.54,282214.21,140297.535,14029.7535,-0.03543307086614167,129465.1004,,1.6864,2.5752,1.25,36.0285,2.3825,820000.3603,167347.0123,109590.452,3379.4,4578.9,378.52,1312.32,-4291.53,-1199.4999999999995,-933.8,-2133.2999999999993,-0.1520554156564475,-0.3058877691614467,-4429.839999999999,-0.08356479798504805,-8851.86,-14073.77,-0.10364101669745791,-20235.86,-14073.77,-0.10364101669745791,-20235.86,,,,,,,,,,,,,,,,,,-104681.57,-0.11996801928104397,12.991259508894245,-0.008163265306122436,-0.05102040816326525,-0.08979591836734702,-0.10204081632653061,,,,,,,,
